Layer,Accuracy,F1_macro,Precision_macro,Recall_macro,Silhouette_Score,ARI
X_layer_0,0.9876691925587806,0.9376749658303783,0.9609215111175364,0.9207670162986515,0.31095216,0.2893863194554284
X_layer_1,0.9883571781280922,0.9395461610876177,0.9590236033478303,0.9261570236174327,0.3449984,0.28795761154670535
X_layer_2,0.9885556302019165,0.9447433179840645,0.9615423574307798,0.9329724284938846,0.3252322,0.2494273038341029
X_layer_3,0.9889128535624476,0.9464994775234334,0.9636269220894768,0.9355895404500874,0.39923292,0.29677899270466357
X_layer_4,0.9888731526447945,0.946966702206901,0.9591045840586891,0.9382745425724195,0.45529127,0.2569256934245891
X_layer_5,0.9892700725467751,0.9523140651884155,0.9628133601854625,0.9455344563061757,0.5087245,0.29367408168441433
X_layer_6,0.9892700725467751,0.9519392094589193,0.9635336486906343,0.9434542885086067,0.49575347,0.25185814183875016
X_layer_7,0.9892568520361678,0.9521516056798374,0.9610993450263546,0.9458944525032702,0.47288075,0.2508771353686907
X_layer_8,0.9892700795487007,0.9525211477872391,0.9602156265718385,0.9470537477902216,0.46431378,0.25494194449764074
X_layer_9,0.9896140753966989,0.9548150667733178,0.9606775987655951,0.9509688854272561,0.4721006,0.2500512876615464
X_layer_10,0.9897728405567211,0.9541265488879759,0.96124719785606,0.9490369094601908,0.47591284,0.24007460403052766
X_layer_11,0.989984528895485,0.9559492867333621,0.9657056366183492,0.9490424468431179,0.4826905,0.22427333353393383
Baseline_PCA,0.9896008330050744,0.9389803564698654,0.9661418371498233,0.9210768203901315,0.37660143,0.2276898231323695
