,Layer,Accuracy,F1_macro,Precision_macro,Recall_macro,Silhouette_Score,ARI,layer_idx
0,X_layer_0,0.97255806008295,0.9540754130865812,0.966163030016126,0.9431503844982868,0.10024881,0.2723741119968721,0.0
1,X_layer_1,0.9814257580443748,0.9709510195230232,0.976111291301922,0.966220032856817,0.1299029,0.4636128367428985,1.0
2,X_layer_2,0.9836493463079784,0.973451848800618,0.9766825613269408,0.970555084301405,0.14003617,0.490049587888568,2.0
3,X_layer_3,0.9847544799907736,0.9757807807755254,0.9788631273346317,0.9729308348006612,0.16071802,0.535392521649772,3.0
4,X_layer_4,0.9849275656779132,0.976830911531169,0.977933756157711,0.9759571152044716,0.19041304,0.5376921588224944,4.0
5,X_layer_5,0.985673202656095,0.9774855440386157,0.9782536194118654,0.976904247703301,0.21760957,0.4180276624081399,5.0
6,X_layer_6,0.9868981756654752,0.979212135186078,0.979744319386913,0.9789080993388276,0.24573852,0.4267192560439373,6.0
7,X_layer_7,0.9872709950410306,0.9798052533648712,0.9798880532728482,0.979875160186188,0.25713593,0.3850918096832124,7.0
8,X_layer_8,0.9877503266399078,0.979968808831084,0.9795288233305606,0.9805987123410465,0.24366546,0.3710876404648996,8.0
9,X_layer_9,0.9877103878804028,0.9801155108132962,0.979647918945493,0.9808376627225026,0.24360964,0.3129945207101914,9.0
10,X_layer_10,0.987896791806163,0.9805207246284402,0.980262962953814,0.9809479883256016,0.24630141,0.3328928067104265,10.0
11,X_layer_11,0.9883761234050404,0.9809897828389668,0.9811840218747848,0.9809960862674164,0.24010956,0.3301448538111527,11.0
12,Baseline_PCA,0.9837824932356132,0.964827713028891,0.9723269383774988,0.9580113188217254,0.18684712,0.4410509401736965,
