Layer,Accuracy,F1_macro,Precision_macro,Recall_macro,Silhouette_Score,ARI
X_layer_0,0.9843886912611749,0.8947312139379923,0.9343018603798807,0.8651490221530818,0.33140707,0.2358669273266976
X_layer_1,0.9868922397941354,0.9138305146212315,0.936989019449127,0.8949936346898394,0.33635196,0.2956951207755093
X_layer_10,0.9896509513889982,0.9381520289575717,0.9450127869108111,0.9328868662606261,0.3705067,0.2112162689290882
X_layer_11,0.9896987868350638,0.937388113454694,0.945970494634912,0.9305404930086721,0.37592003,0.18696932115583997
X_layer_2,0.9875938771900377,0.9191106145402698,0.9387793456450455,0.9027442240030318,0.31445464,0.33379788765928636
X_layer_3,0.9878649561598041,0.9223120508345719,0.9392282548131433,0.9086417740566979,0.35619664,0.3241080072133602
X_layer_4,0.9878968604419232,0.9241979218234931,0.939039883748708,0.912072154408337,0.37739176,0.248608071552829
X_layer_5,0.9888217464468871,0.9286290321124087,0.9424450801327293,0.9171734798814851,0.41166562,0.23206521390038587
X_layer_6,0.9892203916915223,0.9335841343443783,0.9469374249149807,0.9221853311569117,0.39240408,0.26367985706523284
X_layer_7,0.9892522921596208,0.9350828498711001,0.9448808103620354,0.9269616531488147,0.3936203,0.25233259600025537
X_layer_8,0.9896509463036374,0.9378255390849036,0.9468572402716212,0.9306052613140808,0.363798,0.19199030852574378
X_layer_9,0.9896987881064039,0.9376646325805907,0.9456938165527433,0.9311084513731934,0.36818212,0.18920408860196877
Baseline_PCA,0.9887260526706324,0.9242215297927402,0.9496890401599958,0.9053410089371138,0.419696,0.27355655557468045
