,AK3,ATF7IP2,ATP10D,ATXN7L3,BBS10,BEND3,BHLHE40,BNIP3L,BTLA,C11orf1,C12orf76,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,DTX1,EHF,EHMT1,ELOF1,FAHD1,FAM208A,FAM229B,FSD1,GLI3,HDHD3,HIST1H4I,HSPA4,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLHL17,KLRG1,KRTCAP2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,LZTS1,MAP3K9,MAP7D1,MAP7D3,MAPK8,MBOAT2,MGA,MOSMO,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RETN,RFX5,RNH1,RPL26L1,RPS6KA1,RYK,S100P,SAMHD1,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SLC25A4,SOX15,SPATA2,SUMF1,SYNE1,TCEAL1,TESPA1,THYN1,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TWIST1,ZDHHC5,ZFP14,ZGLP1,ZNF138,ZNF687,ZNF880
AK3,1.0000094,0.94890213,0.9470401,0.95202637,0.95439965,0.94751555,0.94563645,0.9484502,0.9482131,0.95232564,0.9522734,0.9492065,0.9569996,0.95133674,0.95031214,0.95114356,0.948819,0.955883,0.9445187,0.9488875,0.9527217,0.9530742,0.95209265,0.94951385,0.9452784,0.95131624,0.9529925,0.9513918,0.95818216,0.9458735,0.9474906,0.9456443,0.95425177,0.94695944,0.94650203,0.9540489,0.9471506,0.948896,0.9476049,0.94580334,0.94518024,0.9470864,0.94914514,0.9453824,0.9481333,0.94645125,0.9489365,0.94740695,0.9503575,0.9496099,0.9461422,0.95035267,0.951829,0.94695354,0.9406648,0.94918424,0.9537746,0.9514147,0.95021117,0.9429507,0.9545274,0.9555346,0.94689393,0.9500857,0.94402623,0.94408244,0.94981956,0.94433904,0.9529858,0.948691,0.9496068,0.95508325,0.9534566,0.9513911,0.950023,0.95838785,0.9441006,0.9446325,0.9481925,0.95145684,0.94758147,0.94826245,0.9435607,0.9537584,0.9533794,0.95676893,0.95408416,0.9498398,0.9495909,0.95145714,0.94283235,0.94768685,0.9600258,0.9519899,0.947537,0.95146066,0.94795394,0.947501,0.9497953,0.95177054
ATF7IP2,0.94890213,0.99998575,0.9498048,0.95108366,0.9493871,0.94960374,0.94969344,0.9502456,0.95171106,0.9523127,0.9458111,0.95212454,0.95088255,0.9484688,0.94725317,0.94994485,0.95140487,0.9471524,0.94878113,0.9477182,0.9487778,0.9517446,0.9485825,0.9525571,0.9496576,0.9473284,0.9530337,0.95335,0.9532018,0.9487499,0.9530868,0.9513463,0.9508679,0.9505452,0.9504661,0.9475262,0.9493566,0.95031774,0.9547131,0.95017934,0.94719017,0.9480914,0.95039904,0.94567704,0.9455119,0.9497677,0.9500871,0.94962114,0.9505189,0.9542091,0.9484393,0.94972146,0.9449753,0.94921786,0.9493791,0.9462733,0.9478229,0.9519743,0.94925225,0.949781,0.95014536,0.9469887,0.94750446,0.951815,0.9508444,0.9524647,0.9493719,0.9501038,0.94402903,0.95086545,0.9535403,0.9503571,0.9526985,0.94904166,0.94770986,0.9498405,0.9507768,0.94789535,0.9482727,0.949324,0.94616216,0.95125914,0.9501095,0.95227927,0.9538171,0.946066,0.95039463,0.9480536,0.9496161,0.9481882,0.9499037,0.9524108,0.94871527,0.94847083,0.95046395,0.95016307,0.94940495,0.9492732,0.95137054,0.9502487
ATP10D,0.9470401,0.9498048,1.0000008,0.94918376,0.9502231,0.9522014,0.9480654,0.95203274,0.9520787,0.95157105,0.9493089,0.95143604,0.9489907,0.95117235,0.9497325,0.9484071,0.95268047,0.9496225,0.9487843,0.9478862,0.9467867,0.95020497,0.9501062,0.95050913,0.95155585,0.94645274,0.9506235,0.9527382,0.94559294,0.9518612,0.95106065,0.95010173,0.9508395,0.95039594,0.95056605,0.94819635,0.95009506,0.9497898,0.95265794,0.95332974,0.95016265,0.9540188,0.9484706,0.94947743,0.9505209,0.9466524,0.95319444,0.94829345,0.949687,0.94903773,0.9496367,0.9502746,0.94649345,0.9526768,0.95154184,0.94842803,0.94855064,0.9487308,0.9524559,0.9491631,0.9489175,0.94923574,0.9503852,0.95237845,0.9461503,0.95125115,0.9509894,0.9491712,0.9484016,0.94863236,0.9508639,0.95148396,0.9494952,0.9519227,0.9509533,0.9515467,0.95354486,0.9498671,0.9508218,0.95153916,0.950922,0.95150477,0.9467927,0.94796836,0.9493791,0.9468317,0.9508882,0.94978654,0.95059514,0.9497827,0.9493296,0.95054674,0.9489147,0.9525251,0.9511103,0.95065665,0.95116055,0.9506636,0.94938934,0.95001626
ATXN7L3,0.95202637,0.95108366,0.94918376,0.99999726,0.9545067,0.95485175,0.9552079,0.9525911,0.95244837,0.95122254,0.9527988,0.951028,0.9490194,0.9517553,0.9552086,0.95281565,0.95277655,0.95287657,0.9522803,0.9478669,0.94824755,0.9519487,0.9501957,0.95240474,0.9501536,0.95316446,0.9557707,0.9491754,0.9515457,0.95069826,0.9501826,0.9492929,0.95014554,0.947283,0.9502382,0.95434964,0.9514488,0.95506006,0.9514508,0.9502103,0.953094,0.95023257,0.9537484,0.9521571,0.9498553,0.9477747,0.94951004,0.94965476,0.9500344,0.9500088,0.9449618,0.9540666,0.9527277,0.9492823,0.95046157,0.9517696,0.9551675,0.94999963,0.9516911,0.95281416,0.94987005,0.95747364,0.9539463,0.95119894,0.9479045,0.9489639,0.95033675,0.9538903,0.9499065,0.9501621,0.95205456,0.95071983,0.95134944,0.95213324,0.95114076,0.9510774,0.95141053,0.9525005,0.9497945,0.9526605,0.9530114,0.94815904,0.94994485,0.95417094,0.94997793,0.95311296,0.9557465,0.95151305,0.948918,0.95458865,0.9463657,0.9526238,0.9558491,0.95175046,0.94957155,0.9510442,0.94839174,0.9500201,0.95382226,0.9545192
BBS10,0.95439965,0.9493871,0.9502231,0.9545067,1.0000116,0.9550171,0.951346,0.9527062,0.95081633,0.95660347,0.9627656,0.95497817,0.9540963,0.9557181,0.9586916,0.9513507,0.95468915,0.95604146,0.9522665,0.94804037,0.9485171,0.9541,0.9495567,0.95070577,0.94932586,0.9503813,0.9556453,0.95171785,0.9543494,0.95489407,0.9491532,0.9491912,0.9535307,0.94712055,0.9484815,0.9554166,0.9521295,0.95517784,0.9506051,0.9538988,0.95224524,0.95178026,0.952049,0.9512813,0.9553148,0.94726455,0.9471666,0.9507642,0.9516291,0.9504672,0.9447414,0.95573014,0.95605993,0.94868517,0.95060897,0.9542762,0.9619094,0.9498669,0.95232636,0.9492226,0.9515142,0.9644187,0.95196974,0.9507625,0.9467875,0.9501195,0.9515689,0.9484852,0.95037633,0.9528668,0.95052516,0.9489821,0.95036656,0.95855194,0.9522535,0.9574639,0.95217085,0.95322615,0.9498734,0.9519173,0.9563838,0.95043063,0.9504616,0.9516413,0.9509521,0.9578481,0.9662117,0.9592886,0.9488493,0.955036,0.94774723,0.9514454,0.9610401,0.94950485,0.94859666,0.955137,0.9500982,0.9523723,0.9503932,0.95586514
BEND3,0.94751555,0.94960374,0.9522014,0.95485175,0.9550171,1.0000044,0.951047,0.954089,0.9578349,0.95025074,0.95057315,0.9524119,0.94739753,0.94915015,0.95327836,0.95116156,0.95273936,0.9534352,0.94976604,0.94530666,0.9420344,0.9511729,0.950299,0.9564993,0.94942445,0.95028853,0.9555194,0.9489161,0.9519956,0.9517037,0.95697576,0.94931567,0.94953406,0.94760203,0.9498271,0.9540448,0.9516931,0.96168524,0.95055175,0.9547199,0.9527754,0.9505881,0.95077324,0.9506985,0.94943273,0.9458288,0.949862,0.95662934,0.9503932,0.94886464,0.94494134,0.96212435,0.9480724,0.9518806,0.95045495,0.94808865,0.955168,0.9573037,0.95341486,0.9502437,0.9466106,0.9568263,0.95449704,0.95342565,0.943789,0.94935274,0.9529113,0.952198,0.9466884,0.9498689,0.9548071,0.9501445,0.9483602,0.9501914,0.9486745,0.95097715,0.9516079,0.95413786,0.95109487,0.95643914,0.9592256,0.95122784,0.94778466,0.95035416,0.9498883,0.95380425,0.95628506,0.94853246,0.94276875,0.9554978,0.94929516,0.95387393,0.9528041,0.9511157,0.9494434,0.9509873,0.94779384,0.9538991,0.9543322,0.9495226
BHLHE40,0.94563645,0.94969344,0.9480654,0.9552079,0.951346,0.951047,1.0000083,0.9530355,0.95134485,0.948193,0.95469636,0.9478492,0.9521413,0.9501255,0.95320237,0.95442426,0.94961095,0.9553687,0.95464826,0.94832927,0.95012915,0.9487095,0.94979817,0.9477431,0.9479183,0.95162314,0.9464431,0.9459005,0.9477802,0.9532067,0.9457293,0.9486463,0.9422183,0.9482186,0.9469747,0.95464,0.95299506,0.9533937,0.94570804,0.9528538,0.95429105,0.94489884,0.9441217,0.95746905,0.94741726,0.94958526,0.94728106,0.9502836,0.94926393,0.9529133,0.9460107,0.9524772,0.95651937,0.94841367,0.95880127,0.9510417,0.9554219,0.9442124,0.9453741,0.9549793,0.95324963,0.9493722,0.95183444,0.9462213,0.9523734,0.950774,0.9495754,0.9635169,0.9463901,0.94776946,0.9451379,0.9435464,0.9480909,0.9495609,0.9520665,0.9481055,0.94900167,0.95846844,0.949993,0.94549656,0.9438239,0.94598776,0.9489791,0.95088816,0.9511365,0.9506184,0.9448719,0.95436615,0.95036423,0.95951015,0.94840866,0.9473868,0.9485244,0.95157623,0.94806844,0.95302105,0.9449736,0.95067,0.94885606,0.9521122
BNIP3L,0.9484502,0.9502456,0.95203274,0.9525911,0.9527062,0.954089,0.9530355,0.9999943,0.9514304,0.95173055,0.9510213,0.9505549,0.95066833,0.9505614,0.95140505,0.9493636,0.9526621,0.95271647,0.94951177,0.9484643,0.94748914,0.95146877,0.9512922,0.9530148,0.95085883,0.9498358,0.94996464,0.950145,0.9500104,0.95137304,0.95324254,0.95042574,0.94767904,0.95010275,0.94893146,0.95288354,0.95277286,0.95439625,0.95010483,0.9544691,0.952319,0.9531224,0.9482115,0.9510219,0.95024425,0.94783837,0.9495927,0.95344424,0.9492525,0.9482659,0.9480113,0.95487595,0.9501028,0.9505896,0.95096344,0.9509741,0.95300424,0.95105326,0.95029426,0.95096976,0.95119786,0.9517865,0.95022917,0.9511074,0.9480061,0.95062447,0.9515602,0.95334363,0.94756866,0.9475219,0.9513267,0.9500809,0.94995713,0.9517504,0.9487448,0.9513399,0.95317376,0.9524631,0.95076054,0.95203626,0.95036584,0.95006186,0.94836575,0.94941545,0.9513163,0.9510259,0.95107883,0.95449644,0.9467854,0.95371604,0.94840026,0.9487082,0.94997656,0.9509954,0.9505523,0.9534495,0.94855464,0.95300984,0.952956,0.95082957
BTLA,0.9482131,0.95171106,0.9520787,0.95244837,0.95081633,0.9578349,0.95134485,0.9514304,1.0000075,0.9502222,0.94902754,0.9513704,0.94860685,0.94775254,0.9478638,0.9496786,0.9518037,0.9535567,0.95028484,0.9468279,0.9452843,0.9509157,0.9514955,0.9565314,0.948704,0.9476182,0.950604,0.948834,0.95155495,0.9495868,0.95843446,0.9505104,0.9485807,0.9483363,0.94812596,0.9508031,0.9503028,0.9565591,0.9519069,0.9536239,0.9508437,0.95011336,0.9491266,0.95031685,0.946064,0.94678724,0.94925225,0.955208,0.9496032,0.94987226,0.9464499,0.95700663,0.9456433,0.94901174,0.95022506,0.9467257,0.9507768,0.9546592,0.95034605,0.94911635,0.9474914,0.95369756,0.95141506,0.95189357,0.9443062,0.9489529,0.9498235,0.9501867,0.9463689,0.9487448,0.95375425,0.94975966,0.9497173,0.94992304,0.9487317,0.9520552,0.9501548,0.9525804,0.94983983,0.9527141,0.9533921,0.95039296,0.9470266,0.9489692,0.95188755,0.9480182,0.9530493,0.94899255,0.9436593,0.95278764,0.9490725,0.9502145,0.95226175,0.951247,0.9491777,0.9516551,0.9459409,0.9520754,0.9580426,0.95013154
C11orf1,0.95232564,0.9523127,0.95157105,0.95122254,0.95660347,0.95025074,0.948193,0.95173055,0.9502222,1.000005,0.95484257,0.9537757,0.95656717,0.95376515,0.95196927,0.9526647,0.95560247,0.9502816,0.9478277,0.9483125,0.9518185,0.9581168,0.94698167,0.95119095,0.94723696,0.95008636,0.95233786,0.9563458,0.9574855,0.95081836,0.9516551,0.94968677,0.9538262,0.94875306,0.9500087,0.9464127,0.94889367,0.947217,0.95316696,0.94825363,0.9450827,0.94954854,0.949774,0.9463148,0.94759005,0.9488831,0.94744635,0.949276,0.9517118,0.9535378,0.95045817,0.95053846,0.94984996,0.94849235,0.9461373,0.95181835,0.95299745,0.9519588,0.9519638,0.947117,0.95613563,0.95381856,0.94866157,0.95284754,0.949305,0.95205367,0.94945586,0.94736767,0.9446773,0.9533672,0.9511165,0.94819593,0.9541547,0.9577333,0.9489488,0.9591177,0.95160365,0.9483676,0.949423,0.9509622,0.94884,0.9538536,0.9498726,0.9541924,0.953962,0.95076,0.95802903,0.95594907,0.94875705,0.94666445,0.9488123,0.95149034,0.95647603,0.9477197,0.94888026,0.9560125,0.9487592,0.9506139,0.9492109,0.95499957
