layer,correlation,p_value
0,0.21480721791143997,9.192632260358443e-53
1,0.2251576363026828,6.3295357313280454e-58
2,0.2696733169682389,3.149327189227263e-83
3,0.28835317012298795,2.102105348223159e-95
4,0.2876361569453161,6.420962281998078e-95
5,0.30172867824758925,1.03216710803077e-104
6,0.3151350895343975,1.4950622049212564e-114
7,0.31782397455584527,1.376513475814221e-116
8,0.32320251516831955,1.0067060989087073e-120
9,0.32918352987695537,2.0105341935092032e-125
10,0.3138016617400402,1.5012547732233728e-113
11,0.309442902769635,2.6016928416413365e-110
