,AK3,ATF7IP2,ATP10D,ATXN7L3,BBS10,BEND3,BHLHE40,BNIP3L,BTLA,C11orf1,C12orf76,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,DTX1,EHF,EHMT1,ELOF1,FAHD1,FAM208A,FAM229B,FSD1,GLI3,HDHD3,HIST1H4I,HSPA4,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLHL17,KLRG1,KRTCAP2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,LZTS1,MAP3K9,MAP7D1,MAP7D3,MAPK8,MBOAT2,MGA,MOSMO,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RETN,RFX5,RNH1,RPL26L1,RPS6KA1,RYK,S100P,SAMHD1,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SLC25A4,SOX15,SPATA2,SUMF1,SYNE1,TCEAL1,TESPA1,THYN1,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TWIST1,ZDHHC5,ZFP14,ZGLP1,ZNF138,ZNF687,ZNF880
AK3,0.9999948,0.9489184,0.9470509,0.9519216,0.95429075,0.94762295,0.9457454,0.94834536,0.9482141,0.9523319,0.95227784,0.9491069,0.95699954,0.9512343,0.95043874,0.9511465,0.94882846,0.955781,0.94452137,0.9488891,0.9527307,0.95296913,0.95198756,0.94941777,0.9450613,0.9513302,0.95300215,0.95150554,0.95807236,0.94588995,0.9473864,0.94553983,0.9542522,0.9468554,0.946507,0.9539437,0.9470442,0.9487926,0.9476182,0.94581467,0.945189,0.9468796,0.9492677,0.945502,0.9481428,0.9464477,0.9489459,0.94730246,0.95025444,0.94972277,0.9461508,0.95024776,0.9518441,0.9469554,0.9405573,0.94919485,0.9536679,0.95129955,0.9502168,0.9429674,0.954542,0.9554368,0.94679636,0.95009434,0.9440284,0.94409275,0.94971615,0.9444624,0.95300275,0.94870126,0.9495041,0.9549855,0.9533505,0.9512998,0.95004046,0.9582826,0.94411635,0.9445294,0.9481993,0.9515721,0.9474757,0.9482705,0.9436779,0.95377326,0.9532739,0.9566704,0.95397806,0.94973904,0.94959867,0.9513533,0.9429517,0.94770044,0.9599303,0.9518933,0.94743043,0.9513605,0.94796556,0.94751126,0.9498061,0.95166075
ATF7IP2,0.9489184,1.0000002,0.9498283,0.9511065,0.9494029,0.9496149,0.9497033,0.9502696,0.95172495,0.95233184,0.94583005,0.9521502,0.95089775,0.94849056,0.9472818,0.9499619,0.95142704,0.9471788,0.94879675,0.9477344,0.94880134,0.9517674,0.9486073,0.95259017,0.9496778,0.9473573,0.95305645,0.9533657,0.95321894,0.94877976,0.9531101,0.95137024,0.95088303,0.9505701,0.95048416,0.9475537,0.9492738,0.9503426,0.95473844,0.9502019,0.94721246,0.94811696,0.9504211,0.9457003,0.9455361,0.9497773,0.9501093,0.94964564,0.9505446,0.9542238,0.94846183,0.9497462,0.9450058,0.9492327,0.94939375,0.9462991,0.94784355,0.9519876,0.9492749,0.9498101,0.950174,0.94702154,0.9475383,0.9518369,0.95085967,0.9524872,0.94939786,0.95013267,0.94406176,0.9508896,0.95356584,0.95039177,0.9527212,0.94907576,0.9477418,0.9497625,0.9508047,0.9479194,0.9483911,0.9493438,0.9462963,0.9512798,0.9501283,0.9523078,0.95384026,0.94609386,0.9504153,0.9480761,0.9496375,0.948213,0.9500279,0.95243704,0.9488484,0.9485034,0.9504893,0.9501886,0.94943047,0.9492964,0.9513936,0.9502648
ATP10D,0.9470509,0.9498283,1.0000026,0.9492017,0.9502329,0.9522019,0.94806564,0.9520509,0.9520864,0.951585,0.9493214,0.9514562,0.9490004,0.95118856,0.94975495,0.9484193,0.95269674,0.9496426,0.9487938,0.94789624,0.9468049,0.9502231,0.9501246,0.9505366,0.9516825,0.9464759,0.9506414,0.9527446,0.9456061,0.95188355,0.95107853,0.95012045,0.9508486,0.9504156,0.9505782,0.94811136,0.95010984,0.94980943,0.95267797,0.9533463,0.95017827,0.9540371,0.94848305,0.9494903,0.9505371,0.9466574,0.9532101,0.9483126,0.9497071,0.94904375,0.9496526,0.9502934,0.94651765,0.95268476,0.9515502,0.9484467,0.9485657,0.94873977,0.9524721,0.9491869,0.948941,0.9491551,0.95041686,0.95239437,0.9461609,0.951268,0.9510089,0.94909006,0.9484268,0.94865096,0.950884,0.951517,0.9495131,0.95195115,0.9509783,0.9515703,0.9535664,0.949885,0.9508358,0.9515486,0.95093644,0.9515203,0.9468059,0.9479922,0.94951147,0.946854,0.95090365,0.94990134,0.95061004,0.9498017,0.94923896,0.95056784,0.948947,0.9525513,0.95113415,0.95067674,0.9511792,0.9506806,0.9494076,0.95002675
ATXN7L3,0.9519216,0.9511065,0.9492017,0.99999833,0.9544008,0.95496196,0.95531905,0.95249027,0.95245624,0.95123637,0.95281017,0.95093215,0.94902855,0.95165694,0.95534456,0.9528258,0.9527925,0.9527781,0.95228875,0.94787645,0.9482643,0.951848,0.9500944,0.952313,0.9499443,0.9531853,0.9558982,0.94929343,0.95154154,0.95072025,0.95008105,0.94919205,0.9501545,0.9471835,0.95025015,0.95435584,0.9514503,0.95495975,0.9514711,0.9502273,0.9531083,0.9502473,0.9539788,0.95228046,0.9498712,0.9477785,0.9495262,0.949554,0.949935,0.9501254,0.944978,0.9539651,0.9527494,0.94929147,0.9503569,0.95178664,0.9550646,0.94988894,0.9515889,0.95294863,0.94989264,0.9573857,0.9538581,0.951215,0.94791347,0.9489808,0.950237,0.9540223,0.9499308,0.95017976,0.9519555,0.9507428,0.95124793,0.952046,0.9511649,0.9509834,0.9514323,0.9525147,0.94980806,0.95277977,0.9530231,0.9481752,0.95007247,0.954193,0.9498764,0.9530183,0.9556443,0.9514155,0.9489329,0.9544877,0.94649625,0.95264375,0.9557636,0.9516573,0.9494754,0.9509482,0.94841075,0.95003754,0.95383936,0.95441365
BBS10,0.95429075,0.9494029,0.9502329,0.9544008,0.9999967,0.9551234,0.9514542,0.9526006,0.9508169,0.9566081,0.96276706,0.9548774,0.95409656,0.9556144,0.9588173,0.9513534,0.954697,0.95604134,0.95226693,0.948042,0.9486301,0.95399404,0.94945115,0.9506093,0.9493248,0.95049924,0.95565444,0.95183164,0.9542398,0.95490843,0.94904804,0.94908583,0.95353085,0.9471251,0.94848573,0.9554154,0.952022,0.95507383,0.9506179,0.9539075,0.9522527,0.95178753,0.95227355,0.95140064,0.9553219,0.94736725,0.94717604,0.95065874,0.951525,0.95057994,0.9447503,0.9556248,0.9560739,0.9486863,0.95050025,0.95428574,0.96180177,0.949752,0.9522202,0.9493445,0.95152867,0.96421826,0.95187074,0.9507707,0.9468905,0.9501285,0.95146453,0.9488102,0.95039296,0.9528759,0.95042163,0.94888496,0.9503651,0.95845914,0.9522702,0.957155,0.9521844,0.9531209,0.94987935,0.951932,0.9562755,0.95043796,0.9505785,0.95165616,0.9508463,0.9577488,0.96610445,0.959186,0.94885737,0.95493126,0.9479695,0.95145774,0.96094364,0.9494078,0.9484891,0.9550362,0.9501095,0.95238113,0.95040333,0.9557542
BEND3,0.94762295,0.9496149,0.9522019,0.95496196,0.9551234,0.99999404,0.95093554,0.95420015,0.95782506,0.9502524,0.95057476,0.9525279,0.9473992,0.94926393,0.95319307,0.9511621,0.952741,0.95354754,0.94976705,0.94530904,0.9420485,0.95128417,0.9505169,0.95661986,0.9496442,0.9502997,0.9555207,0.94881094,0.9522018,0.95172393,0.95708513,0.94942737,0.9495354,0.94771445,0.9498285,0.95416373,0.95180213,0.9619024,0.95056397,0.95471966,0.95278674,0.9507034,0.9506772,0.9505985,0.94945467,0.9458223,0.94986254,0.95685214,0.95050544,0.94875795,0.94495404,0.96223557,0.9480942,0.9518718,0.95056146,0.9481107,0.9552778,0.95740515,0.9535249,0.9502551,0.94662255,0.95695144,0.954622,0.95342743,0.9438009,0.94936454,0.95302296,0.95210797,0.9467103,0.94988877,0.95491964,0.95027125,0.9484708,0.9503161,0.94869375,0.95109653,0.95161885,0.9542475,0.95109445,0.95633525,0.95933324,0.9512278,0.94769037,0.9503647,0.9499988,0.95392275,0.95639443,0.9486475,0.9427896,0.9556085,0.94909465,0.953884,0.95293206,0.95123535,0.94956017,0.95110303,0.9478163,0.9538994,0.95433235,0.94962937
BHLHE40,0.9457454,0.9497033,0.94806564,0.95531905,0.9514542,0.95093554,0.99999535,0.9531477,0.95133466,0.94819397,0.9546958,0.9479672,0.9521407,0.9502402,0.9531137,0.9544232,0.94961184,0.95548195,0.95464706,0.94832927,0.9501398,0.948822,0.9499096,0.9478642,0.9480279,0.95163226,0.94644487,0.9457973,0.9479884,0.9532259,0.94584143,0.9487587,0.9422197,0.9483313,0.9469754,0.9547539,0.95310473,0.95350605,0.9457201,0.95285285,0.9543012,0.9449156,0.9440281,0.9573701,0.9474389,0.9495766,0.9472802,0.9503955,0.9493777,0.9529182,0.94602203,0.9525892,0.95653796,0.94840384,0.95890844,0.951062,0.9555324,0.94431514,0.9454869,0.95498776,0.95325875,0.9494944,0.9519549,0.946223,0.9523824,0.95078427,0.9496888,0.9633202,0.9464104,0.9477887,0.9452522,0.9436695,0.94820225,0.94968694,0.9520842,0.9482206,0.9490117,0.9585789,0.9499911,0.9453938,0.9439353,0.9459874,0.94888115,0.9508975,0.95124763,0.950737,0.94498265,0.9544819,0.95038354,0.95962167,0.9483126,0.9475007,0.94864905,0.9516967,0.94818085,0.95313776,0.9449958,0.95066905,0.9488558,0.9522201
BNIP3L,0.94834536,0.9502696,0.9520509,0.95249027,0.9526006,0.95420015,0.9531477,0.99999696,0.9514395,0.95174557,0.95103395,0.95045924,0.95067805,0.9504629,0.951544,0.94937545,0.9526794,0.95261765,0.9495215,0.94847435,0.9475069,0.95136744,0.9511907,0.95302963,0.9507545,0.94985867,0.9499836,0.9502631,0.94990563,0.95139635,0.95314074,0.95032537,0.9476891,0.95000315,0.9489444,0.95279175,0.9526696,0.95429754,0.9501257,0.95448685,0.95233476,0.95302486,0.9483373,0.9511463,0.9502605,0.947843,0.94961,0.95334363,0.94915277,0.94849724,0.9480278,0.9547754,0.95012593,0.9505992,0.9508582,0.9509921,0.95290196,0.950943,0.9501921,0.9509933,0.95122105,0.95170194,0.95014375,0.9511244,0.94801545,0.9506415,0.9515793,0.95347816,0.9475936,0.94754046,0.9512273,0.9499961,0.94985545,0.951663,0.9487702,0.9512478,0.95319664,0.9524785,0.95077515,0.95215577,0.9502631,0.9500782,0.9484953,0.94943964,0.95121527,0.95093197,0.95097667,0.95439863,0.94680095,0.95373017,0.948425,0.94873023,0.9498937,0.9509025,0.950458,0.95325637,0.9485737,0.95302784,0.952975,0.9506272
BTLA,0.9482141,0.95172495,0.9520864,0.95245624,0.9508169,0.95782506,0.95133466,0.9514395,0.9999892,0.9502269,0.9490306,0.9513814,0.9486078,0.94775957,0.94787735,0.9496806,0.95181036,0.95356727,0.9502847,0.94682914,0.9452935,0.95092344,0.95150477,0.9565492,0.9487097,0.9476318,0.9506129,0.94883144,0.9515576,0.94960105,0.9584407,0.9505194,0.94858164,0.9483469,0.9481293,0.950819,0.9504122,0.9565682,0.9519175,0.9536307,0.9508498,0.9501233,0.94912916,0.9503198,0.94607246,0.9467827,0.94926023,0.9552167,0.94961405,0.9498685,0.9464577,0.9570153,0.94565827,0.9490118,0.95022446,0.94673586,0.95078206,0.9547646,0.95035356,0.9491307,0.9475058,0.9537174,0.9514374,0.9519001,0.9443081,0.9489612,0.9499521,0.9502007,0.9463856,0.9487543,0.9538735,0.94978416,0.94972616,0.94994205,0.9487481,0.9520692,0.9501678,0.95258826,0.949845,0.9527142,0.9535123,0.9503994,0.9470307,0.9489836,0.9518963,0.948031,0.95305455,0.94899935,0.94366765,0.9527963,0.9490811,0.9502263,0.95228446,0.9512644,0.9491935,0.9516653,0.94595224,0.9520832,0.95804834,0.95013285
C11orf1,0.9523319,0.95233184,0.951585,0.95123637,0.9566081,0.9502524,0.94819397,0.95174557,0.9502269,0.99999994,0.9548497,0.953792,0.95657116,0.9537767,0.9519881,0.9526715,0.9556139,0.95029813,0.9478343,0.94831914,0.95183146,0.95812917,0.94699705,0.95121473,0.947358,0.95010513,0.95235175,0.95635194,0.95749253,0.9508379,0.9517858,0.9497016,0.9538311,0.9487691,0.95001715,0.9464314,0.9489049,0.9472335,0.9531839,0.9482682,0.94509673,0.94945943,0.9497869,0.9463281,0.94760406,0.9488841,0.9474603,0.94929147,0.9517281,0.9536551,0.9504706,0.95055354,0.94986993,0.9484984,0.9461437,0.9518332,0.9531057,0.9520697,0.9519765,0.947138,0.95615315,0.9538405,0.9486862,0.9528594,0.9493115,0.952067,0.94947267,0.9473883,0.9447001,0.95338106,0.95113313,0.9482223,0.95416784,0.95775634,0.94897103,0.9591322,0.95162207,0.9483821,0.94943386,0.9509725,0.94885147,0.9538644,0.9498826,0.954211,0.95397633,0.9507779,0.9580386,0.95596004,0.9487695,0.9466808,0.9487213,0.95150745,0.9564998,0.9477432,0.9488975,0.9560275,0.9487758,0.9506276,0.9492258,0.9550051
