layer,correlation,p_value
0,0.36817419334491364,9.54491295139177e-159
1,0.3597501445632269,3.842353198028913e-151
2,0.3494507015101099,3.753284900019472e-142
3,0.34785722065067265,8.619164657171516e-141
4,0.3488885420794881,1.1362611804480035e-141
5,0.3494714950453861,3.6024551076786755e-142
6,0.35557095697504504,1.8743150690793738e-147
7,0.3554797759313649,2.2526489882179515e-147
8,0.3522025407066731,1.6041967867080703e-144
9,0.34420453372365606,1.0606518663507877e-137
10,0.32844973916828885,7.684611100578553e-125
11,0.3266982728097004,1.8579188635674696e-123
12,0.32387642629665214,3.010820333296289e-121
13,0.31412646469409994,8.568557457538017e-114
14,0.3088328188646532,7.314990090733294e-110
15,0.30844088590984875,1.4192903695978557e-109
16,0.2974539498890856,1.104895423131337e-101
17,0.2919989175933333,6.837016307873699e-98
18,0.2896230614630335,2.88593586828462e-96
19,0.28561260711170894,1.474222529535321e-93
20,0.2923159340097173,4.138059435914941e-98
21,0.305166113908956,3.467769202812003e-107
22,0.3144393968077688,4.9885298283740124e-114
23,0.311167516385887,1.3814292371587547e-111
