,ATF7IP2,ATP10D,ATP6V1E2,BACH2,BBS10,BEND3,BRD7,BTLA,C10orf105,C11orf1,CA1,CCPG1,CD8A,CDK10,CLIC5,CREBZF,CYB5R1,DMRT1,DYRK4,EFHD1,EHF,EHMT1,EML5,FAM208A,FAM229B,GALT,GLI3,HES5,HIST1H4I,HLA-DQA2,HSPA4,HSPH1,IL17F,KDELR2,KLF13,KLHL29,KLRG1,KRTCAP2,LBHD1,LCMT2,LRP6,LRRC37A3,LYST,MAP3K9,MAPK8,MEFV,METAP1,MGA,MICA,MOSMO,MT3,NDST1,NNAT,OPTN,ORM2,P3H3,PEX10,PIP,POMK,POU2F3,RAB30,RAMP1,RASD2,RBMS1,RCBTB1,RPS6KA1,S100P,SAMHD1,SFMBT2,SFN,SFXN4,SH3KBP1,SIT1,SLC25A33,SLC25A53,SLC38A7,SPATA2,SUMF1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TTC39B,TWIST1,VAMP2,ZDHHC5,ZFP14,ZGLP1,ZNF10,ZNF235,ZNF285,ZNF473,ZNF534,ZNF583,ZNF687,ZNF880
ATF7IP2,1.0000014,0.95296806,0.95316845,0.94876784,0.95134664,0.951631,0.9492192,0.9534893,0.950436,0.9550117,0.9531393,0.9508571,0.9501243,0.9534225,0.94911736,0.95338094,0.9522472,0.9505082,0.9494125,0.9554397,0.9529771,0.9507085,0.95290345,0.9560613,0.95516247,0.9512323,0.9530492,0.9514519,0.95030284,0.95394874,0.95220405,0.94858783,0.9502415,0.9530964,0.95104206,0.94879967,0.95309204,0.9499586,0.95088947,0.94992656,0.95165414,0.95055175,0.9504992,0.9527861,0.95211864,0.9527667,0.9521644,0.95161057,0.9479653,0.9484391,0.95256394,0.9510194,0.95324826,0.9506249,0.95250905,0.9502597,0.9505325,0.9515414,0.954681,0.9524535,0.9525399,0.9521784,0.9516815,0.953333,0.9504534,0.9529365,0.9517504,0.9508759,0.95009464,0.95191175,0.95150983,0.9540212,0.9510904,0.9529368,0.9516779,0.9555329,0.9519606,0.9528,0.9528313,0.9491956,0.95270264,0.9514679,0.95006835,0.9541066,0.9534493,0.95039606,0.9515313,0.95163107,0.9523945,0.9501308,0.95297396,0.95154774,0.952945,0.9532761,0.9520278,0.9515046,0.9531472,0.95120394,0.94963264,0.9513092
ATP10D,0.95296806,0.9999982,0.95192856,0.9512209,0.9514517,0.954931,0.9517857,0.95292544,0.95639306,0.9561752,0.95097816,0.9537172,0.9504113,0.951642,0.9487092,0.9531054,0.95403403,0.9509355,0.9522418,0.9553883,0.95530313,0.9527823,0.9536171,0.9528285,0.95481944,0.9540495,0.9559511,0.9569435,0.95264643,0.9542897,0.95485115,0.9525573,0.95217425,0.9543484,0.95138085,0.95176643,0.95213425,0.9538197,0.9540523,0.9542459,0.9538183,0.9508201,0.9513364,0.9536416,0.9496713,0.95498776,0.9510826,0.95315135,0.9517362,0.9527391,0.9543045,0.95208585,0.9504516,0.9517625,0.9536085,0.9531296,0.9499597,0.95196056,0.9555772,0.95280814,0.95434093,0.9541482,0.95435846,0.9534332,0.9546368,0.94974893,0.9574412,0.9533577,0.9509241,0.9522306,0.9533689,0.9553369,0.9536126,0.952084,0.95247823,0.95522064,0.9540283,0.952625,0.9537922,0.9528451,0.95373285,0.9524282,0.95076466,0.9523349,0.95458364,0.95022357,0.95528376,0.9545346,0.95492935,0.95289224,0.95392525,0.9535912,0.9525995,0.9506986,0.9550532,0.95390373,0.95505667,0.95199084,0.95177394,0.9544915
ATP6V1E2,0.95316845,0.95192856,1.0000033,0.95387435,0.95737207,0.9514989,0.94782734,0.95218825,0.9524108,0.9543186,0.9597838,0.95054966,0.95220125,0.9615484,0.9534284,0.9571359,0.9516492,0.9548685,0.9568015,0.9563564,0.9515344,0.9523693,0.95166343,0.9567658,0.95468116,0.95038176,0.9499371,0.95582217,0.95288604,0.95513994,0.95210767,0.94733346,0.95093733,0.95310354,0.9511206,0.9443998,0.95913905,0.94802386,0.9471288,0.94900644,0.9547858,0.949394,0.95210505,0.9504818,0.95502794,0.95444125,0.95896125,0.95078087,0.94613224,0.95274574,0.9510391,0.9495322,0.9607117,0.9514209,0.9520172,0.94864976,0.9542795,0.95654124,0.9527691,0.9539145,0.95501196,0.95140004,0.9535892,0.95246494,0.950517,0.96115476,0.95143086,0.9476898,0.95678896,0.9583251,0.95545626,0.95516473,0.95203626,0.96139234,0.94675004,0.955734,0.9495439,0.951419,0.95264953,0.95231557,0.9530704,0.9477186,0.95165944,0.95308024,0.9563468,0.9550691,0.95342386,0.95447487,0.9531284,0.94891185,0.9540129,0.951918,0.9552492,0.9585366,0.950323,0.9543196,0.9510505,0.95719624,0.95585454,0.9504638
BACH2,0.94876784,0.9512209,0.95387435,1.0000057,0.9586681,0.9532515,0.952953,0.95049363,0.9515432,0.950548,0.9529304,0.9507653,0.9583007,0.95420825,0.95647395,0.95326525,0.95183647,0.95359737,0.95847875,0.94856906,0.9486187,0.95340765,0.94934577,0.9542065,0.9502523,0.95342624,0.9506077,0.950873,0.9514453,0.94893295,0.94896555,0.952617,0.9500577,0.9481305,0.95090646,0.94950926,0.9494211,0.95454973,0.9525773,0.95417094,0.95074165,0.9501003,0.95062745,0.9490357,0.9512773,0.94881755,0.95700234,0.9531694,0.9564452,0.9574889,0.94992673,0.9511404,0.9536428,0.95699763,0.9511349,0.95072156,0.95396924,0.9510781,0.9492943,0.95217264,0.9505231,0.95066524,0.95367897,0.94693714,0.9538222,0.9550282,0.9527154,0.94936156,0.9590206,0.954497,0.95472765,0.9502896,0.9484867,0.9517741,0.95133966,0.94902885,0.948518,0.9515949,0.9548411,0.9544837,0.95106447,0.9471978,0.9576406,0.9506179,0.94935435,0.95822006,0.9524351,0.95227045,0.95178014,0.94977605,0.9511073,0.9489066,0.949394,0.95155144,0.9519818,0.9555259,0.9480362,0.9517944,0.95917886,0.9507755
BBS10,0.95134664,0.9514517,0.95737207,0.9586681,1.0000104,0.95305115,0.95078784,0.95083517,0.9516399,0.9528866,0.9594076,0.95072675,0.9560373,0.9603228,0.95994085,0.95569944,0.9512574,0.95491976,0.9549233,0.9512829,0.9513015,0.9539094,0.9515069,0.9548634,0.95282656,0.95077544,0.9514594,0.9511349,0.94967556,0.951522,0.94938135,0.94850165,0.94921577,0.95009935,0.95228904,0.94560957,0.9592856,0.9517853,0.9481782,0.950825,0.95772827,0.94817,0.951123,0.9499669,0.95465076,0.9514293,0.9589202,0.95101386,0.9476331,0.95390964,0.950346,0.95041543,0.9622509,0.94990194,0.95059633,0.95042056,0.9554729,0.95312643,0.95040536,0.9503767,0.9508195,0.94881123,0.9522785,0.9496616,0.9504243,0.9636807,0.9508083,0.944154,0.95686615,0.95471364,0.957542,0.953623,0.95078063,0.95714414,0.9488659,0.95267755,0.95080507,0.95195603,0.9524845,0.9525016,0.9511777,0.9437036,0.95488274,0.95157814,0.95366883,0.95301646,0.94916224,0.95106226,0.9511051,0.94957376,0.950373,0.9516245,0.9503895,0.9523539,0.9500426,0.9508648,0.9507638,0.95260894,0.9565865,0.9507105
BEND3,0.951631,0.954931,0.9514989,0.9532515,0.95305115,0.9999896,0.9517743,0.95540714,0.95379937,0.95139474,0.95150506,0.94977903,0.9539319,0.95199925,0.95041656,0.95069665,0.9531905,0.9493757,0.95200884,0.9528266,0.9548812,0.9523362,0.95267886,0.95217395,0.9570462,0.9528831,0.953907,0.95330834,0.9519606,0.94890684,0.9510954,0.9544689,0.9525333,0.9536958,0.95758957,0.95524186,0.9534818,0.95546496,0.95274836,0.955204,0.9562676,0.9510183,0.9517121,0.9518319,0.95089763,0.95511955,0.95171714,0.9503498,0.9566734,0.9540243,0.9515194,0.9509954,0.9505677,0.95496327,0.9539063,0.9546082,0.9508775,0.9541124,0.95305985,0.9577406,0.9521733,0.9521357,0.95232403,0.94982976,0.9546916,0.94923395,0.9512718,0.9533913,0.9523707,0.9496831,0.9505373,0.95456886,0.955024,0.9519525,0.952056,0.95180637,0.9538315,0.954762,0.95327187,0.9538949,0.95132315,0.95170707,0.9566148,0.9517544,0.9561259,0.9497391,0.95135593,0.95275164,0.95363486,0.9512424,0.9538223,0.95242196,0.9530536,0.9488499,0.9518589,0.9506253,0.95666426,0.94980264,0.9535072,0.95132643
BRD7,0.9492192,0.9517857,0.94782734,0.952953,0.95078784,0.9517743,1.0000056,0.9514687,0.9516867,0.951539,0.95026195,0.95149606,0.9512459,0.94921446,0.9517623,0.9483247,0.9525879,0.95031965,0.9512629,0.9506123,0.95367527,0.9533603,0.95173705,0.94922316,0.94878286,0.95338285,0.9537234,0.9498601,0.95183235,0.94861746,0.9517608,0.95386857,0.95357656,0.9522163,0.9543917,0.955922,0.9485467,0.9534562,0.95449066,0.95463204,0.95287156,0.952655,0.95016,0.9513682,0.95019865,0.9504803,0.9490782,0.95277095,0.9573372,0.9523928,0.953094,0.9531804,0.949608,0.95375293,0.9514149,0.95462406,0.9514573,0.9495808,0.9507539,0.95477676,0.95020103,0.9536817,0.95099634,0.9497571,0.9525196,0.9486046,0.9513684,0.95133007,0.9507093,0.9499908,0.9506607,0.95055664,0.9510822,0.9478932,0.9538727,0.94936997,0.9533814,0.95160353,0.95166045,0.95195293,0.950785,0.9520299,0.95272267,0.9517222,0.9510821,0.94994926,0.9514092,0.95144415,0.9520674,0.95290923,0.95345265,0.9556892,0.95059323,0.948619,0.95376223,0.95198625,0.95135564,0.9489678,0.9527482,0.9540169
BTLA,0.9534893,0.95292544,0.95218825,0.95049363,0.95083517,0.95540714,0.9514687,0.9999908,0.9509975,0.95219356,0.95091105,0.95281804,0.94818336,0.95057786,0.9489515,0.9508297,0.95658493,0.9480029,0.9484845,0.95190597,0.95293844,0.9486258,0.9578739,0.9517178,0.9555485,0.9490081,0.9545871,0.9550034,0.9519762,0.95240384,0.9541544,0.95230657,0.9548173,0.9548269,0.95767796,0.953685,0.95047355,0.95376104,0.9552307,0.9484591,0.9518523,0.9517636,0.9530477,0.9543406,0.9516309,0.95536524,0.9496192,0.94892,0.95096797,0.95367444,0.9529188,0.95169526,0.94898635,0.9516183,0.954247,0.95269626,0.94923425,0.9553724,0.953987,0.95541286,0.9535836,0.9498835,0.9517876,0.9493776,0.95428705,0.94892436,0.9515915,0.9546207,0.9511999,0.94977295,0.94880134,0.95264983,0.95684934,0.95122355,0.95200014,0.95257777,0.95439374,0.9546894,0.9504777,0.95097196,0.95305365,0.95329714,0.953731,0.95083505,0.95406085,0.9490555,0.95261765,0.9547187,0.954438,0.9521624,0.95480615,0.95464796,0.9544598,0.9517393,0.9524449,0.95060515,0.95442736,0.94636804,0.95084804,0.9535916
C10orf105,0.950436,0.95639306,0.9524108,0.9515432,0.9516399,0.95379937,0.9516867,0.9509975,0.99999297,0.9520019,0.95239055,0.9507748,0.95412767,0.9522973,0.94996464,0.9531636,0.95197374,0.95223755,0.9573945,0.95562893,0.95495844,0.9516384,0.9504708,0.9512169,0.95329046,0.94979954,0.9542915,0.95411146,0.95183116,0.95175725,0.95143133,0.952658,0.95122904,0.95484084,0.95391876,0.95306814,0.95179856,0.9550215,0.95193833,0.955163,0.9530587,0.9503668,0.9506684,0.9510853,0.94987077,0.9527062,0.9512332,0.9541341,0.95113415,0.94982296,0.95034003,0.9517886,0.9514961,0.955528,0.9523966,0.9545686,0.9501806,0.95117974,0.95233977,0.95390075,0.95434666,0.9539134,0.95432043,0.9520736,0.95259446,0.9500597,0.9527698,0.95196664,0.9541409,0.9519392,0.9538958,0.9566031,0.9511457,0.952467,0.9523344,0.95419073,0.9549884,0.9509426,0.95817095,0.95447224,0.9533027,0.95158964,0.9500645,0.9525241,0.953932,0.95215404,0.9539146,0.9535154,0.9563768,0.95319426,0.95033294,0.95476854,0.95402074,0.95281774,0.95293665,0.9500608,0.9541767,0.9531874,0.9535749,0.954137
C11orf1,0.9550117,0.9561752,0.9543186,0.950548,0.9528866,0.95139474,0.951539,0.95219356,0.9520019,0.9999927,0.95288116,0.9552495,0.9500475,0.9528274,0.9496186,0.9568268,0.95320153,0.95153224,0.949789,0.95352334,0.95251954,0.9522402,0.953251,0.9579369,0.95460093,0.9549718,0.9528406,0.9554903,0.95338875,0.95616823,0.95436245,0.9500867,0.9498937,0.9558717,0.9468128,0.9489245,0.95025635,0.9512952,0.9524301,0.95045567,0.95414996,0.95223224,0.95208216,0.9555437,0.95010626,0.95357615,0.951929,0.9523854,0.9469975,0.95431393,0.95362824,0.9516105,0.9526006,0.9513437,0.9557339,0.9522244,0.9506942,0.952915,0.9561882,0.952016,0.9551314,0.9538177,0.9532727,0.95156515,0.9536081,0.95059675,0.9555771,0.95187986,0.9511212,0.9550989,0.95156074,0.9560501,0.95500016,0.9525058,0.9527856,0.9568674,0.9516761,0.95613897,0.95499724,0.9512437,0.9524573,0.9520091,0.947439,0.9526398,0.95464903,0.95068055,0.9527225,0.9551451,0.9553846,0.9522543,0.9559302,0.95175856,0.9547442,0.95444405,0.95655924,0.9571318,0.9523102,0.95033956,0.9497339,0.95730376
