,ATF7IP2,ATP10D,ATP6V1E2,BACH2,BBS10,BEND3,BRD7,BTLA,C10orf105,C11orf1,CA1,CCPG1,CD8A,CDK10,CLIC5,CREBZF,CYB5R1,DMRT1,DYRK4,EFHD1,EHF,EHMT1,EML5,FAM208A,FAM229B,GALT,GLI3,HES5,HIST1H4I,HLA-DQA2,HSPA4,HSPH1,IL17F,KDELR2,KLF13,KLHL29,KLRG1,KRTCAP2,LBHD1,LCMT2,LRP6,LRRC37A3,LYST,MAP3K9,MAPK8,MEFV,METAP1,MGA,MICA,MOSMO,MT3,NDST1,NNAT,OPTN,ORM2,P3H3,PEX10,PIP,POMK,POU2F3,RAB30,RAMP1,RASD2,RBMS1,RCBTB1,RPS6KA1,S100P,SAMHD1,SFMBT2,SFN,SFXN4,SH3KBP1,SIT1,SLC25A33,SLC25A53,SLC38A7,SPATA2,SUMF1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,TTC39B,TWIST1,VAMP2,ZDHHC5,ZFP14,ZGLP1,ZNF10,ZNF235,ZNF285,ZNF473,ZNF534,ZNF583,ZNF687,ZNF880
ATF7IP2,1.0000032,0.9529757,0.9531685,0.9487682,0.95134234,0.95163304,0.949229,0.9534953,0.9504405,0.955016,0.95315266,0.950869,0.95011985,0.9534172,0.94912386,0.9533818,0.95225555,0.9505036,0.94941986,0.95543665,0.9529765,0.9507153,0.95290923,0.9561769,0.9551635,0.951245,0.9530722,0.9514581,0.9503093,0.9539569,0.9522024,0.948599,0.9502389,0.9531095,0.9510479,0.94880843,0.95310646,0.949966,0.9509006,0.9499442,0.95165956,0.95056,0.9505133,0.9527814,0.9521274,0.9527654,0.9521708,0.95162404,0.94797736,0.9484338,0.9525717,0.95101494,0.9532639,0.95063066,0.95250267,0.95027244,0.9505286,0.95155334,0.95467955,0.95245993,0.9525354,0.9521769,0.9516764,0.95333964,0.95044816,0.9529461,0.9517587,0.9508838,0.9500962,0.9519203,0.9515236,0.9540263,0.95109683,0.95295215,0.95168984,0.9555326,0.9519601,0.952798,0.9528378,0.9492019,0.9526984,0.95147,0.95007455,0.9541005,0.95344913,0.9504031,0.95153856,0.9516426,0.952408,0.95013815,0.9529791,0.9515456,0.95293766,0.95327586,0.9520417,0.95151144,0.9531447,0.9512166,0.9496339,0.95131487
ATP10D,0.9529757,1.000003,0.95193,0.9512228,0.95144856,0.95493245,0.9517965,0.9529325,0.9563986,0.95618093,0.95099354,0.95373005,0.95040816,0.95163816,0.9487175,0.953108,0.9540442,0.950932,0.9522501,0.95538485,0.95530355,0.9527902,0.95362407,0.95283735,0.9548217,0.95406556,0.95597714,0.95695066,0.952655,0.9542989,0.9548485,0.9525696,0.9522672,0.95436287,0.9513883,0.9517767,0.95215034,0.95382786,0.9540647,0.9542671,0.9538249,0.9508295,0.95135176,0.9536383,0.94968164,0.9549874,0.9510909,0.9532599,0.951749,0.9527348,0.95441896,0.95208263,0.9504683,0.9517694,0.95360374,0.95314366,0.9499572,0.95197415,0.95557714,0.9528161,0.95433605,0.9541486,0.9543546,0.9534411,0.95463294,0.94975954,0.9574517,0.9533673,0.9509268,0.95224,0.9533846,0.95534325,0.95362055,0.9521007,0.95249176,0.9552217,0.9540293,0.9526238,0.9538,0.95285237,0.9537302,0.9524318,0.950772,0.9523307,0.95458484,0.9502323,0.95529205,0.9545492,0.9549439,0.95290065,0.9539314,0.9535902,0.9525936,0.95070034,0.95506805,0.9539123,0.95505524,0.9520068,0.9517766,0.9544985
ATP6V1E2,0.9531685,0.95193,0.9999922,0.9538684,0.9573609,0.951492,0.9478312,0.95218813,0.9524094,0.954317,0.95979077,0.9505552,0.9521906,0.9615361,0.95342875,0.95713055,0.95165145,0.95485777,0.95680183,0.95634496,0.9515277,0.9523697,0.9516626,0.95676714,0.9546761,0.95029515,0.9499566,0.95582163,0.95288646,0.95514226,0.9520978,0.9473387,0.95092845,0.95311064,0.9511206,0.9444019,0.95914704,0.9480253,0.9471344,0.9490206,0.9547847,0.9493962,0.95211273,0.9504713,0.95503026,0.95443356,0.9589612,0.95078856,0.94613796,0.9527338,0.95103776,0.9495219,0.9607202,0.9514203,0.9520047,0.94865686,0.9542697,0.9565464,0.95276165,0.9539149,0.95499873,0.9513926,0.95357776,0.95246553,0.95050585,0.96115917,0.9514332,0.9476911,0.9567836,0.9583283,0.95546395,0.95516354,0.95203686,0.96140057,0.9467571,0.95572746,0.9494368,0.95141053,0.9527542,0.95231533,0.95306027,0.94771516,0.9516593,0.9530686,0.9563404,0.95507056,0.953425,0.95448285,0.95313525,0.9489133,0.95401186,0.9519098,0.9552355,0.9585297,0.9503311,0.9543209,0.9510424,0.95720464,0.95584935,0.9504633
BACH2,0.9487682,0.9512228,0.9538684,0.9999935,0.958658,0.95335126,0.95295537,0.9506911,0.9515416,0.95054626,0.9529385,0.9507705,0.9582903,0.9541972,0.9564746,0.953148,0.95172554,0.95347375,0.95847964,0.9486627,0.9486117,0.9534082,0.9493452,0.95409554,0.9502475,0.95332426,0.95051265,0.95087296,0.9513331,0.94882125,0.9490598,0.9526214,0.9500479,0.94813746,0.9510113,0.9496224,0.94942945,0.9545505,0.952582,0.9540734,0.95074034,0.9501022,0.9506353,0.94902503,0.95127976,0.9488101,0.9570036,0.953177,0.9564502,0.9574763,0.95003164,0.95112944,0.9535385,0.95699644,0.9511227,0.95072806,0.9538462,0.9510837,0.9492867,0.952173,0.950616,0.95054924,0.95366776,0.9469379,0.9538107,0.954919,0.95260453,0.9494748,0.9590158,0.9544889,0.9547362,0.950289,0.94848704,0.95178366,0.95134574,0.9490228,0.9486174,0.95169514,0.9547306,0.95448315,0.9509409,0.94719315,0.95764077,0.95060605,0.94934833,0.9581098,0.9523245,0.9521662,0.95189255,0.9497767,0.9511056,0.9490075,0.94938034,0.9515454,0.951989,0.9554158,0.9481364,0.9516918,0.9592774,0.95077467
BBS10,0.95134234,0.95144856,0.9573609,0.958658,0.99998933,0.9530383,0.95078635,0.9508303,0.95163375,0.9528803,0.9594101,0.9507274,0.9560214,0.96030605,0.9599355,0.9556898,0.95125467,0.9549045,0.9549192,0.9512655,0.9512902,0.95390505,0.95150185,0.95486045,0.95281714,0.950781,0.9514755,0.95113057,0.94967175,0.95151955,0.9493657,0.9485019,0.9492024,0.95010203,0.9522842,0.94560677,0.9592889,0.9517817,0.9481791,0.95083565,0.9577217,0.9481678,0.9511261,0.9499519,0.95464855,0.95141745,0.9589156,0.9510169,0.94763434,0.95389265,0.95033914,0.9504005,0.9622549,0.94989693,0.95057946,0.95042264,0.95545876,0.9531275,0.9503937,0.9503727,0.9508004,0.94879913,0.9522631,0.94965774,0.95040846,0.9636809,0.95080596,0.9441505,0.9568561,0.9547122,0.9575448,0.9536173,0.9507762,0.95714784,0.948868,0.9526669,0.9507935,0.9519427,0.95248,0.9524965,0.95116293,0.9436958,0.95487756,0.95156157,0.95365804,0.9530135,0.94915885,0.9510669,0.9511078,0.94957036,0.9503671,0.951611,0.95037115,0.9523431,0.95004576,0.95086133,0.95075035,0.95261383,0.95657665,0.9507057
BEND3,0.95163304,0.95493245,0.951492,0.95335126,0.9530383,0.9999955,0.95179105,0.95521176,0.9538011,0.951396,0.9515103,0.9497918,0.95392025,0.95198673,0.9504144,0.95079744,0.9532981,0.9494692,0.95201117,0.95272255,0.9548801,0.9523373,0.95268273,0.9522806,0.95704216,0.9529974,0.95402825,0.95340776,0.95206624,0.9490128,0.95099056,0.95448387,0.9525361,0.9537067,0.95749485,0.9551553,0.95349175,0.95546776,0.95276237,0.9553228,0.9562762,0.95111895,0.9517178,0.95181966,0.95089716,0.9551156,0.9517148,0.9503592,0.9566876,0.95401376,0.95142555,0.95098305,0.95068145,0.95496774,0.9538958,0.9546196,0.9509714,0.9541248,0.95305604,0.9577435,0.952068,0.95223796,0.9523119,0.9498314,0.9546802,0.949341,0.9513792,0.9533046,0.9523663,0.9497896,0.9505433,0.9545691,0.95502746,0.95196027,0.95206803,0.9517997,0.9537302,0.95466185,0.95337915,0.95389795,0.9514182,0.9517205,0.9566148,0.9517432,0.9561196,0.94984645,0.95146304,0.9528633,0.9535466,0.9512447,0.95382845,0.95232254,0.9530443,0.94884396,0.95187294,0.9507326,0.9565638,0.94991565,0.95350295,0.9513303
BRD7,0.949229,0.9517965,0.9478312,0.95295537,0.95078635,0.95179105,1.0000135,0.95147765,0.9516941,0.95154655,0.95027846,0.951511,0.9512446,0.94921243,0.9517716,0.9483291,0.9525984,0.9503173,0.951273,0.95062405,0.9536778,0.9533697,0.95174575,0.9492336,0.94878757,0.9534819,0.95373666,0.9498697,0.9518415,0.9486273,0.9517745,0.95388246,0.9535771,0.95223266,0.95440125,0.95593536,0.9485645,0.95346606,0.95450497,0.9546405,0.9528798,0.9526659,0.9501768,0.95136666,0.95021033,0.95048213,0.949088,0.9527875,0.9573515,0.9523901,0.9531166,0.95317847,0.94962674,0.9537612,0.9514122,0.9546399,0.95145607,0.94959587,0.95075583,0.9548792,0.9502117,0.95368326,0.9509946,0.949767,0.9525171,0.9486159,0.9513789,0.9513423,0.9507138,0.9500015,0.9506779,0.9505653,0.9510917,0.94791204,0.95388794,0.9493733,0.9534846,0.95160496,0.9516694,0.9519618,0.95078284,0.95203525,0.95273185,0.9517199,0.9510849,0.9499588,0.95141864,0.9514463,0.95218563,0.95291924,0.953461,0.9556907,0.9505886,0.948622,0.9537789,0.9519958,0.9513569,0.9489712,0.95275235,0.95402557
BTLA,0.9534953,0.9529325,0.95218813,0.9506911,0.9508303,0.95521176,0.95147765,0.9999912,0.9510011,0.9521976,0.95082915,0.9528293,0.9481783,0.9505725,0.94895756,0.9509344,0.9566042,0.9481962,0.9484912,0.9518034,0.9528402,0.9486322,0.95787853,0.9518292,0.9555492,0.94912314,0.9547155,0.9548161,0.95208675,0.9525155,0.9540545,0.9522226,0.9548139,0.95483977,0.9574887,0.95359015,0.95039225,0.95376736,0.955336,0.9486737,0.95185727,0.9517713,0.95306087,0.95433533,0.9516389,0.955363,0.9496254,0.9488388,0.95107245,0.95376194,0.9527275,0.9516901,0.94901216,0.9517183,0.9541398,0.9526094,0.9492401,0.9553838,0.9539849,0.95532507,0.9533801,0.95007515,0.9517824,0.9493836,0.9542812,0.94903845,0.95179707,0.95452493,0.95129496,0.9498857,0.94871956,0.95255625,0.9567563,0.95114243,0.9521063,0.9524783,0.95429385,0.9545862,0.950585,0.95097685,0.9531532,0.9532989,0.95373636,0.95073247,0.95396346,0.9492603,0.95272684,0.954834,0.9543532,0.95216906,0.95481074,0.954543,0.9544517,0.95173895,0.95255256,0.95071507,0.9542275,0.9464831,0.950849,0.95359665
C10orf105,0.9504405,0.9563986,0.9524094,0.9515416,0.95163375,0.9538011,0.9516941,0.9510011,0.99999076,0.95200473,0.9524025,0.95078504,0.9541211,0.9522905,0.94996995,0.9531627,0.95198,0.952231,0.9573993,0.95562565,0.95495564,0.95164293,0.9504748,0.95122236,0.95329,0.94971025,0.9543111,0.9541156,0.951836,0.9517635,0.95142895,0.95266676,0.9512245,0.954852,0.9539226,0.9530754,0.9518116,0.9550266,0.95194775,0.95517737,0.95306194,0.9503728,0.9506807,0.9510792,0.9498777,0.9527029,0.95123804,0.9541454,0.9511438,0.949816,0.9503472,0.9517823,0.9515098,0.9555317,0.95238847,0.9545794,0.9501745,0.9511902,0.95233643,0.95390534,0.9543417,0.9539107,0.9543135,0.9520784,0.9525873,0.9500675,0.95277643,0.95197284,0.95414037,0.95194566,0.9539077,0.9566058,0.9511506,0.9524804,0.9523447,0.95418864,0.9549861,0.95093846,0.95817477,0.954476,0.95329684,0.9515902,0.9500687,0.9525169,0.95392984,0.9521594,0.9539198,0.95352405,0.9563882,0.95319927,0.9503362,0.95476437,0.95401126,0.95281583,0.952949,0.950066,0.9541721,0.95319635,0.9535744,0.95414084
C11orf1,0.955016,0.95618093,0.954317,0.95054626,0.9528803,0.951396,0.95154655,0.9521976,0.95200473,0.99999076,0.9528931,0.95525956,0.95004135,0.9528207,0.9496239,0.9568256,0.9532084,0.95152545,0.94979477,0.95351994,0.9525175,0.9522449,0.9532549,0.9579421,0.95460033,0.9549813,0.95286053,0.9554943,0.9533936,0.9561744,0.9544672,0.9500958,0.9499837,0.9558833,0.94681746,0.94893175,0.9502695,0.9513008,0.95243955,0.95047027,0.9541532,0.9522384,0.95209426,0.9555371,0.9501132,0.9535727,0.9519337,0.9523973,0.94700783,0.9543064,0.9536352,0.95160437,0.9526142,0.95134795,0.95572543,0.9522353,0.9506881,0.9529253,0.95618457,0.95202076,0.9551263,0.95381504,0.95326596,0.95157003,0.95360106,0.95060444,0.95567703,0.9518866,0.95112115,0.9551054,0.9515731,0.95605296,0.9550048,0.9525193,0.95279586,0.95686495,0.95167404,0.9561352,0.955001,0.9512478,0.9524514,0.9520096,0.94744354,0.9525393,0.95464677,0.9506857,0.9527275,0.9551537,0.95549333,0.9522599,0.955933,0.9517547,0.95473474,0.95444226,0.9565713,0.95713687,0.95230603,0.9503489,0.949734,0.9574009
