,AK3,ATF7IP2,ATP10D,ATP6V1E2,ATXN7L3,BACH2,BBS10,BEND3,BHLHE40,BTLA,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,EHF,EHMT1,ELOF1,FAM208A,FAM229B,HDHD3,HES5,HIST1H4I,HOXA1,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLRG1,KRTCAP2,LCMT2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,MAP7D1,MAPK8,MBOAT2,MCTS1,MED19,MGA,MICA,MOSMO,MT3,NDST1,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RFX5,RPL26L1,RPS6KA1,S100P,SAMHD1,SENP5,SFXN4,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SPATA2,SYNE1,TESPA1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,YWHAG,ZDHHC5,ZFHX4,ZFP14,ZNF10,ZNF138,ZNF235,ZNF473,ZNF483,ZNF534,ZNF687,ZNF880
AK3,1.0000029,0.9490126,0.9505122,0.95385134,0.9558533,0.9572891,0.95265543,0.9516688,0.9488699,0.94936657,0.9469011,0.95485353,0.9511971,0.9531493,0.9511508,0.9508851,0.95819896,0.94729745,0.9485006,0.952742,0.9541395,0.9538067,0.9477208,0.95152515,0.9531098,0.9593821,0.9491564,0.95229053,0.9520628,0.9476119,0.95490724,0.9564499,0.9504875,0.95102507,0.94650376,0.94743896,0.94619924,0.94663656,0.9491073,0.9430893,0.9494063,0.94872606,0.94895566,0.9505889,0.94980943,0.95275563,0.9482374,0.9459785,0.95292354,0.9575258,0.95050603,0.9508171,0.9557039,0.94973373,0.94915235,0.94947433,0.9508692,0.9440166,0.9538329,0.95625746,0.9509987,0.94754696,0.94744146,0.94759125,0.952287,0.9513776,0.94991845,0.95104635,0.9526339,0.9523927,0.95451754,0.95101637,0.9590396,0.9452012,0.9497347,0.9538771,0.9521894,0.94898903,0.95486,0.9531616,0.9487672,0.95222235,0.951177,0.949207,0.9566905,0.9469641,0.94790655,0.95874727,0.9507941,0.94877017,0.94948125,0.9480832,0.9505752,0.9513608,0.94815254,0.9546228,0.9503608,0.9477829,0.951177,0.9517804
ATF7IP2,0.9490126,0.99999756,0.9504431,0.9518175,0.94777995,0.9462338,0.94921684,0.95144594,0.9483897,0.9537085,0.952717,0.95055926,0.94807315,0.94730663,0.9493669,0.9533621,0.94834167,0.94999295,0.9494933,0.9486472,0.95229626,0.95001125,0.95048374,0.94512165,0.9503183,0.9529309,0.9506654,0.9511021,0.94997597,0.95037276,0.94973814,0.9494349,0.95148724,0.95206606,0.95353615,0.9526145,0.9499811,0.9502762,0.9487425,0.9492884,0.94750655,0.9491206,0.94997394,0.9502222,0.9498339,0.95042413,0.94928694,0.94969356,0.9524697,0.9510565,0.94811666,0.9484722,0.9483373,0.9528543,0.9496464,0.95250636,0.95022905,0.9499607,0.94878906,0.9507272,0.95200723,0.9508296,0.94862807,0.9524195,0.94967026,0.94844395,0.95007336,0.9520815,0.9507215,0.9481531,0.9474953,0.9490057,0.95199984,0.9480554,0.95175976,0.9505472,0.9506525,0.95115185,0.9508922,0.95010275,0.95018387,0.94953126,0.9517298,0.9501944,0.9479044,0.95154655,0.9497132,0.9498318,0.95300984,0.9497864,0.9498509,0.95221806,0.9490752,0.95160735,0.95124686,0.94757897,0.9498307,0.95136297,0.95067644,0.9503785
ATP10D,0.9505122,0.9504431,1.0000069,0.95351285,0.94947493,0.95385236,0.953514,0.95316035,0.9475428,0.9519142,0.952985,0.95021576,0.9526378,0.95211875,0.94738173,0.95329213,0.95052916,0.949985,0.94999766,0.94729203,0.95221996,0.95034516,0.95304835,0.94981915,0.9514249,0.95191675,0.9535923,0.94996214,0.95630354,0.948911,0.9526539,0.9499446,0.9510886,0.9519379,0.9521095,0.9528853,0.9506094,0.9507769,0.9517574,0.9494909,0.95183647,0.9476428,0.9523146,0.95069385,0.94981134,0.9533743,0.9495006,0.95053506,0.9495912,0.95321345,0.9502638,0.9466082,0.9531355,0.9501157,0.95096695,0.952872,0.9517733,0.95033145,0.9512565,0.9521282,0.9503661,0.9539437,0.9482415,0.95182836,0.9539453,0.9497201,0.9533843,0.9516024,0.95487773,0.9519013,0.9495277,0.9558998,0.95372665,0.9515511,0.9512403,0.95213485,0.9547159,0.95045185,0.95110875,0.9537331,0.9497683,0.9517097,0.9502796,0.9510633,0.95154405,0.94752973,0.9545881,0.9514139,0.9510819,0.9505918,0.95065075,0.95180565,0.9527549,0.9495837,0.9487034,0.95221865,0.95385164,0.95475864,0.9510449,0.95159274
ATP6V1E2,0.95385134,0.9518175,0.95351285,1.0000029,0.9491747,0.9521754,0.9509802,0.95409936,0.94717973,0.95377666,0.9541677,0.9502024,0.94788736,0.9544386,0.94947207,0.95517504,0.95262575,0.9499409,0.94838184,0.9476917,0.9545366,0.9518803,0.95267296,0.94595546,0.950951,0.95288664,0.95144796,0.9538559,0.9567294,0.94973075,0.952528,0.95388806,0.9547729,0.9567755,0.95177907,0.954069,0.95062387,0.9518388,0.9490453,0.9459159,0.94831645,0.94772476,0.9517864,0.95184654,0.950095,0.9552295,0.94914645,0.95067126,0.9563619,0.9534643,0.9488606,0.9487188,0.951212,0.9531204,0.94966555,0.9526428,0.95258486,0.9474531,0.95094293,0.95912087,0.95667195,0.9515948,0.94811594,0.9519624,0.95522195,0.9516382,0.954969,0.9569546,0.95226634,0.94953746,0.94926524,0.9523485,0.9576353,0.94868314,0.9548053,0.9548085,0.95508873,0.9520886,0.9512005,0.9509312,0.9518339,0.95628697,0.95240337,0.94908714,0.9536651,0.94899243,0.9502157,0.9550875,0.9530305,0.949006,0.95187587,0.95186996,0.9535081,0.9503593,0.950776,0.950614,0.9501784,0.95352334,0.9573917,0.94957215
ATXN7L3,0.9558533,0.94777995,0.94947493,0.9491747,1.0000055,0.95890474,0.9491192,0.9494845,0.9507202,0.95009094,0.9464815,0.9519558,0.949227,0.95579046,0.9511337,0.951983,0.96258634,0.9479734,0.9476493,0.94942874,0.9499263,0.9498983,0.9492369,0.9532664,0.95775306,0.9572434,0.9456067,0.9518688,0.9505938,0.9497347,0.9567563,0.9557253,0.9475908,0.9497273,0.94754475,0.9480734,0.9464302,0.94742095,0.94932353,0.9522936,0.94621015,0.94816077,0.9505275,0.9557005,0.9473579,0.9505479,0.94834006,0.9496784,0.9501979,0.95725596,0.9502095,0.9565755,0.9520953,0.9480151,0.9475063,0.9506807,0.9470549,0.9483161,0.95296943,0.94868016,0.9477329,0.9477779,0.9469286,0.94928414,0.9492071,0.9485876,0.9519838,0.9524377,0.9513688,0.9480956,0.9516679,0.95339507,0.95293283,0.9501334,0.9502869,0.94836867,0.9516345,0.94650143,0.9559582,0.9549958,0.95037663,0.9558322,0.94651175,0.9434258,0.9529013,0.94948584,0.9495986,0.95631635,0.95060104,0.94724166,0.94867563,0.9455172,0.9474191,0.95447284,0.9477346,0.9514456,0.95220554,0.94843686,0.9497123,0.95093566
BACH2,0.9572891,0.9462338,0.95385236,0.9521754,0.95890474,1.0000117,0.95657253,0.9493043,0.9569072,0.9500605,0.94406164,0.95292187,0.95285964,0.9593764,0.9538057,0.9518995,0.96290785,0.9539112,0.9475827,0.9515507,0.9488565,0.9531622,0.94832695,0.95748496,0.95263666,0.9517514,0.9521551,0.9472309,0.9494423,0.9490271,0.96020275,0.9583406,0.9483716,0.9534719,0.9445294,0.95316887,0.94934756,0.9442024,0.9536941,0.95635545,0.94918513,0.9490975,0.9499639,0.9528625,0.94798535,0.9569253,0.9483639,0.95353305,0.95060635,0.9570479,0.95329094,0.96360433,0.961935,0.94924235,0.94957215,0.94498086,0.9466013,0.94774383,0.9560214,0.94882053,0.9469656,0.9485879,0.9494219,0.948641,0.95314926,0.95171124,0.952914,0.95233333,0.95091647,0.9528093,0.9535729,0.9524033,0.9537439,0.9528416,0.9532714,0.9499015,0.95083225,0.9467654,0.9566876,0.9527611,0.9552273,0.95617026,0.9451247,0.9482033,0.9644561,0.9475071,0.9466127,0.95791054,0.9518076,0.94767857,0.9535712,0.94612145,0.9488442,0.9502765,0.94688195,0.95666534,0.9521565,0.9488525,0.94932,0.9526194
BBS10,0.95265543,0.94921684,0.953514,0.9509802,0.9491192,0.95657253,0.99999785,0.9506156,0.9496069,0.95021665,0.95503706,0.9527159,0.95682853,0.95680165,0.95067906,0.9520556,0.95198846,0.9528419,0.94949675,0.9529674,0.95416206,0.9482801,0.9512177,0.95276093,0.9499462,0.95277166,0.9560382,0.95085204,0.95372444,0.94763166,0.9536844,0.95163655,0.9501252,0.9523725,0.9528043,0.9510815,0.9520864,0.955127,0.9527586,0.9455477,0.95942086,0.9484257,0.9489084,0.9510417,0.9505378,0.9530371,0.9497102,0.9491025,0.9517566,0.9552611,0.95305884,0.94594675,0.96015114,0.9530418,0.9501745,0.95039535,0.9531824,0.94952637,0.9518248,0.9572275,0.95207983,0.9542421,0.9491492,0.9517059,0.9523606,0.95205736,0.9518788,0.948444,0.95311844,0.9534647,0.95484614,0.94920534,0.9547079,0.95607364,0.9483414,0.9517098,0.95005435,0.9516588,0.9512315,0.95478415,0.95800334,0.9515293,0.95259225,0.9502571,0.9551712,0.94738173,0.9554356,0.9549291,0.9508862,0.9498403,0.95032305,0.95363003,0.9544027,0.9507452,0.9522062,0.9553308,0.95073724,0.9550549,0.9488626,0.9539805
BEND3,0.9516688,0.95144594,0.95316035,0.95409936,0.9494845,0.9493043,0.9506156,0.9999906,0.9535451,0.9644237,0.94717026,0.94885045,0.94697225,0.95074546,0.94642663,0.9507685,0.9494189,0.95004296,0.9478437,0.9399827,0.95446676,0.95531005,0.95315504,0.94052404,0.95010406,0.94890976,0.9487174,0.9497983,0.9581639,0.94937724,0.95094347,0.95484173,0.9614828,0.96811795,0.9456029,0.9603518,0.95544285,0.9470692,0.95375973,0.94450396,0.94569343,0.9473903,0.94974256,0.9495008,0.95117486,0.95750487,0.9494606,0.95458597,0.96590436,0.9484749,0.9483656,0.95101786,0.9515117,0.9543909,0.9484588,0.9510131,0.952989,0.94935554,0.939691,0.9604316,0.96206975,0.94796896,0.94405955,0.94783914,0.957606,0.9488322,0.9517161,0.9500499,0.94654095,0.9499786,0.9375118,0.9484902,0.952147,0.94161224,0.962624,0.95833826,0.9520281,0.9492747,0.9483737,0.9477002,0.9443587,0.9536773,0.948894,0.9471224,0.95869094,0.9457906,0.9485384,0.9465925,0.95167017,0.94901884,0.9526449,0.9519454,0.95135903,0.9500616,0.9458196,0.948937,0.9512079,0.9557386,0.9618077,0.9485549
BHLHE40,0.9488699,0.9483897,0.9475428,0.94717973,0.9507202,0.9569072,0.9496069,0.9535451,1.0000057,0.9548973,0.9424204,0.9508396,0.94911975,0.95303655,0.95754004,0.94605577,0.95063174,0.95288014,0.9495709,0.9474307,0.94878787,0.9520877,0.94907016,0.95228666,0.9442844,0.94411945,0.9509463,0.94192046,0.94668067,0.9502724,0.95101106,0.95684755,0.95447695,0.9556819,0.94405997,0.9556535,0.95933187,0.9413594,0.95494884,0.95441633,0.9467096,0.9519444,0.9471735,0.94906634,0.9491174,0.95191514,0.94929624,0.9620046,0.95440626,0.94338894,0.9539697,0.964784,0.95582926,0.95545805,0.9499529,0.9427158,0.94692534,0.95356965,0.9478278,0.95086956,0.9553341,0.945446,0.95380443,0.9493902,0.9519321,0.9461819,0.9451933,0.94414663,0.94659525,0.95088834,0.9452752,0.94256276,0.94396675,0.9469842,0.9602286,0.9517978,0.94284487,0.9497825,0.94617957,0.9431728,0.9528745,0.9516685,0.9482313,0.94990075,0.961518,0.9489662,0.94508016,0.9473051,0.94980115,0.94858074,0.9549328,0.95355195,0.94624776,0.94923836,0.94560885,0.9515635,0.94771355,0.9526201,0.95217174,0.9523577
BTLA,0.94936657,0.9537085,0.9519142,0.95377666,0.95009094,0.9500605,0.95021665,0.9644237,0.9548973,1.0000094,0.9481193,0.949449,0.9480119,0.9508241,0.94798195,0.9518372,0.9497605,0.949533,0.94926167,0.94238484,0.95223856,0.9552086,0.95068467,0.9425314,0.94909704,0.9493468,0.9495453,0.94863766,0.9534525,0.94951385,0.9493558,0.95462036,0.96044254,0.9641025,0.94736874,0.95788103,0.95526,0.94456553,0.9530247,0.9475872,0.94394356,0.9493981,0.94885874,0.9500129,0.9512937,0.95703727,0.94952774,0.9571372,0.9623616,0.94815415,0.94932306,0.95069075,0.9538572,0.95556176,0.9475842,0.94919926,0.9515659,0.9493306,0.9446138,0.95822096,0.9568049,0.94805896,0.9461886,0.9501109,0.95406425,0.9475872,0.94951063,0.9505886,0.9486961,0.9499886,0.938073,0.94788444,0.95339215,0.943872,0.9623904,0.95530474,0.95157886,0.9497337,0.9489285,0.9470461,0.94704175,0.95339274,0.9508257,0.9465082,0.95870024,0.947099,0.9479138,0.94869155,0.95298856,0.9481683,0.95197874,0.9534619,0.948628,0.95029235,0.9486238,0.9503611,0.9498488,0.9538475,0.95822066,0.9492285
