layer,correlation,p_value
0,0.24076220912905996,3.2502026416234087e-66
1,0.2666204067069962,2.503618150958886e-81
2,0.3267528903310751,1.6827705739862136e-123
3,0.32380072434114654,3.4485647616124917e-121
4,0.3357753608043198,9.993852467958875e-131
5,0.3654349338273933,3.004854728619364e-156
6,0.37498500279431624,4.594681774575801e-165
7,0.3802475277342709,4.7388993564401346e-170
8,0.3844583077805541,4.156885684254976e-174
9,0.39293853734631706,1.8414668305944977e-182
10,0.39590629568044755,1.919129385747233e-185
11,0.3977098639603162,2.856476528212077e-187
