,AK3,ATF7IP2,ATP10D,ATP6V1E2,ATXN7L3,BACH2,BBS10,BEND3,BHLHE40,BTLA,CA1,CCNB1,CCPG1,CD8A,CDHR5,CDK10,CLIC5,CYB5R1,CYP20A1,DMRT1,DPF3,DST,EHF,EHMT1,ELOF1,FAM208A,FAM229B,HDHD3,HES5,HIST1H4I,HOXA1,HSPH1,IL17F,KCNIP2,KDELR2,KDM6A,KLF13,KLRG1,KRTCAP2,LCMT2,LRP6,LRRC37A3,LRTOMT,LY96,LYST,MAP7D1,MAPK8,MBOAT2,MCTS1,MED19,MGA,MICA,MOSMO,MT3,NDST1,NNAT,ORM2,P3H3,PEX10,PIP,POU2F3,RAB30,RAMP1,RASD2,RCBTB1,RFX5,RPL26L1,RPS6KA1,S100P,SAMHD1,SENP5,SFXN4,SH2D2A,SH3KBP1,SIKE1,SIT1,SLC25A33,SPATA2,SYNE1,TESPA1,THYN1,TMEM229B,TMEM25,TP53,TRIT1,TRMT10A,TRPM2,TRPV2,YWHAG,ZDHHC5,ZFHX4,ZFP14,ZNF10,ZNF138,ZNF235,ZNF473,ZNF483,ZNF534,ZNF687,ZNF880
AK3,1.0000145,0.9490217,0.95051986,0.9538588,0.9558597,0.95718724,0.9526684,0.9517958,0.94898355,0.94947475,0.946915,0.95496887,0.9512123,0.95315754,0.95115733,0.9508924,0.95820993,0.9473028,0.948515,0.95264065,0.9540259,0.95379984,0.9477284,0.9516491,0.9531202,0.9593814,0.9492705,0.9522978,0.9520701,0.94762224,0.95490545,0.9563558,0.95048916,0.95113194,0.9465163,0.9475655,0.9463175,0.946553,0.9492297,0.9431033,0.949418,0.9487396,0.948963,0.9504852,0.94982845,0.9527674,0.9484502,0.9459879,0.9529255,0.95753413,0.9506238,0.9508221,0.9558263,0.9498574,0.94915926,0.9493787,0.95076543,0.94423974,0.9538403,0.95637965,0.95111406,0.94756067,0.94745237,0.94760543,0.95229185,0.951384,0.94981503,0.95084083,0.95263535,0.9525164,0.95452994,0.9510347,0.95903057,0.9451082,0.94985193,0.95388734,0.95220816,0.9489963,0.95486116,0.95305777,0.9487818,0.95221865,0.9511852,0.9492183,0.9568159,0.9468794,0.9479214,0.95875514,0.95080477,0.94878036,0.9494896,0.94809043,0.95059323,0.95137197,0.94826984,0.95451975,0.9503607,0.9477875,0.9511963,0.95179623
ATF7IP2,0.9490217,0.9999932,0.9504427,0.9518167,0.94777864,0.9462349,0.9492225,0.95145667,0.94828,0.95370007,0.95272297,0.9505603,0.9480811,0.94730705,0.9493659,0.95336115,0.94834423,0.9499908,0.9494998,0.9486451,0.9522878,0.95000345,0.9504828,0.9451259,0.9503207,0.95293057,0.95066047,0.9511014,0.9499756,0.95037466,0.94984585,0.949445,0.9514868,0.9520575,0.9535408,0.9526252,0.9499809,0.9502711,0.94875133,0.9492955,0.94751143,0.94912696,0.94997346,0.9502253,0.9498452,0.95043534,0.9492766,0.9497013,0.9524723,0.95105684,0.94812435,0.94846964,0.94834626,0.9528633,0.9496457,0.9525163,0.9502317,0.94986254,0.9487887,0.9507356,0.95200825,0.9509281,0.9486312,0.9524257,0.9496728,0.9484422,0.9500762,0.9520814,0.9507223,0.9481599,0.94750077,0.94901615,0.9519912,0.94805914,0.95176256,0.9505495,0.95066315,0.95115155,0.95079,0.95010513,0.95019084,0.94953126,0.95173,0.95019835,0.94791466,0.95155615,0.9497198,0.9498317,0.9530116,0.94978905,0.9498513,0.9522176,0.9490851,0.95161045,0.95124626,0.94757974,0.94982284,0.95135945,0.95068747,0.9503865
ATP10D,0.95051986,0.9504427,0.9999994,0.95351034,0.9494715,0.9538518,0.95351774,0.9531696,0.94753855,0.9519046,0.9529895,0.9502152,0.95264375,0.9521173,0.94737977,0.95328945,0.95053035,0.94998145,0.95000273,0.9472886,0.95221,0.95033586,0.95304567,0.94982177,0.95142573,0.95191455,0.9536845,0.9499601,0.95630044,0.94891196,0.95265484,0.9499529,0.9510868,0.9519281,0.9521128,0.95289457,0.9506072,0.9508674,0.9517647,0.94949615,0.95183927,0.9476475,0.95231223,0.95069534,0.9498209,0.9533846,0.94948554,0.950541,0.94959277,0.9532121,0.9502694,0.9466043,0.95314246,0.9501233,0.9509643,0.9528803,0.9517754,0.9503363,0.9512543,0.9521349,0.95036554,0.95394033,0.94824326,0.9518335,0.95394635,0.9497172,0.95338583,0.95160055,0.95487726,0.9519061,0.9495315,0.95590794,0.9538282,0.95155305,0.95124155,0.95213574,0.954725,0.9504498,0.9511078,0.9537342,0.94977385,0.9517084,0.9502789,0.95106566,0.9515524,0.9475383,0.95459294,0.95141244,0.9510828,0.950593,0.9506494,0.9518035,0.95276326,0.94958526,0.94870114,0.9523217,0.95384175,0.95475274,0.951054,0.9515996
ATP6V1E2,0.9538588,0.9518167,0.95351034,0.999995,0.94917154,0.95217466,0.9509839,0.954108,0.94717544,0.95376664,0.954172,0.9502017,0.9478938,0.9544369,0.9494693,0.9551721,0.9526266,0.9499371,0.9483872,0.9476878,0.95452744,0.951871,0.9526703,0.9459583,0.9509518,0.952885,0.95154,0.95385325,0.9567262,0.94973123,0.9525287,0.9538962,0.9547712,0.9567648,0.9517825,0.954078,0.95062155,0.9518299,0.9490528,0.94592106,0.9483194,0.9477293,0.9517841,0.95184755,0.9501045,0.95524025,0.9491324,0.9506774,0.95636344,0.95346284,0.9488668,0.9487146,0.9512191,0.9531277,0.94966286,0.95265085,0.9525864,0.947557,0.9509407,0.9591267,0.9566706,0.95159155,0.9481175,0.9519674,0.9552228,0.95163506,0.95497006,0.95695317,0.95226586,0.94954246,0.9492692,0.9523568,0.9576251,0.9486853,0.95480597,0.9548089,0.95509744,0.9520863,0.95130956,0.95093244,0.9518387,0.95628554,0.95240194,0.9490896,0.9536727,0.94900054,0.95022094,0.9550855,0.9530311,0.949007,0.9518746,0.9518679,0.9535162,0.9503605,0.95077324,0.9506134,0.9501689,0.9535178,0.95740026,0.949579
ATXN7L3,0.9558597,0.94777864,0.9494715,0.94917154,0.9999948,0.9589032,0.94912183,0.9494927,0.9506066,0.9500804,0.94648564,0.9519539,0.9492322,0.95578706,0.95112956,0.9519794,0.9625846,0.9479685,0.947653,0.94942355,0.9499158,0.9498882,0.94923353,0.9532674,0.9577516,0.9572406,0.94559914,0.9518653,0.95059013,0.9497341,0.9567566,0.9557332,0.94758785,0.94971657,0.9475474,0.9480819,0.9464271,0.9474091,0.9493298,0.9522974,0.9462125,0.9481642,0.9505242,0.9557014,0.9473661,0.9505566,0.9483226,0.9496833,0.9501982,0.9572527,0.9502139,0.9565693,0.9521012,0.9480221,0.9475029,0.95080364,0.947055,0.9483198,0.9529659,0.94868594,0.94773155,0.9477733,0.94692934,0.9492879,0.9492071,0.94858325,0.95198417,0.952435,0.9514724,0.94809955,0.95166975,0.95340216,0.95292205,0.9501342,0.9502872,0.94836855,0.95164233,0.9464988,0.9559567,0.9549954,0.9503806,0.9558304,0.94650996,0.94342774,0.95290804,0.94949275,0.9496028,0.9563127,0.95060056,0.94724184,0.9486732,0.9455147,0.9474268,0.9544729,0.9477313,0.9514438,0.95219475,0.94843096,0.9497207,0.95094097
BACH2,0.95718724,0.9462349,0.9538518,0.95217466,0.9589032,1.000006,0.9565773,0.94931483,0.9570135,0.9500524,0.94406676,0.9529225,0.9528663,0.9593759,0.95380354,0.9518986,0.96291107,0.953908,0.94758856,0.95154786,0.948733,0.9530393,0.94832575,0.95750046,0.9526391,0.9515385,0.9522611,0.9472301,0.94944096,0.9490292,0.9600911,0.95823824,0.9482566,0.9534638,0.94453317,0.9531795,0.9494573,0.9443104,0.953809,0.9563614,0.9491883,0.94910246,0.949963,0.9527508,0.947996,0.9568228,0.948459,0.9534303,0.95049435,0.9570484,0.95319587,0.9636016,0.9619435,0.9492512,0.94957036,0.94487613,0.9464879,0.94795793,0.95601976,0.9488287,0.9469668,0.94859064,0.9494239,0.94864684,0.9530363,0.95170915,0.9528025,0.95221865,0.95080435,0.9529253,0.95357704,0.9524131,0.9536208,0.95284367,0.9532745,0.94990396,0.9509458,0.94676447,0.9566812,0.9526487,0.955233,0.9559588,0.94512445,0.9482061,0.9644662,0.94751614,0.94661814,0.95791036,0.9518095,0.9476806,0.9535713,0.9461201,0.9488536,0.95027936,0.94699085,0.9565538,0.9521483,0.94884795,0.9493311,0.9526267
BBS10,0.9526684,0.9492225,0.95351774,0.9509839,0.94912183,0.9565773,1.0000033,0.9506307,0.94960904,0.95021313,0.95504737,0.9527211,0.9568404,0.95680577,0.9506827,0.95205903,0.95199484,0.95284367,0.949508,0.9529698,0.9541579,0.9482765,0.9512211,0.9527699,0.949953,0.95277554,0.95614064,0.9508558,0.9537279,0.9476385,0.95369047,0.95165074,0.95012856,0.95236844,0.95281434,0.951097,0.95219433,0.9551363,0.9527725,0.9455597,0.95942956,0.9484369,0.9489122,0.95104843,0.950553,0.9530525,0.94971347,0.9491142,0.95176363,0.9552653,0.9530709,0.9459488,0.96016395,0.95305544,0.95017815,0.95040977,0.95318943,0.94953805,0.95182854,0.9572398,0.9520854,0.9543487,0.94915766,0.9517173,0.95236754,0.95206004,0.9518852,0.94844764,0.95312357,0.95347595,0.954856,0.9492202,0.9547033,0.95608157,0.9483488,0.9517164,0.9500692,0.9516632,0.9511298,0.9547905,0.9580144,0.95153373,0.9525971,0.95026624,0.9551852,0.9473962,0.9554467,0.9549335,0.95089304,0.9498471,0.9503277,0.953634,0.9544169,0.9507522,0.95221007,0.955336,0.9507337,0.9550554,0.9488782,0.9539928
BEND3,0.9517958,0.95145667,0.9531696,0.954108,0.9494927,0.94931483,0.9506307,1.0000064,0.9535514,0.96442384,0.94718635,0.94886124,0.94699025,0.9507552,0.9464356,0.9507774,0.9494309,0.9500504,0.9478598,0.9399912,0.95446867,0.955312,0.95316356,0.9405379,0.9501164,0.9489191,0.94882035,0.9498075,0.95817226,0.94938946,0.950956,0.9548618,0.9614937,0.9681179,0.9456184,0.9603716,0.95545185,0.94707,0.9537782,0.9445206,0.94570804,0.94740653,0.9497518,0.94951314,0.9511954,0.95762646,0.9494556,0.95460373,0.96602815,0.9484849,0.94838285,0.95102435,0.9515301,0.95440936,0.9484675,0.951033,0.9530023,0.9492671,0.93970126,0.9604492,0.96207947,0.9479773,0.94407296,0.94785583,0.9576177,0.94884074,0.951729,0.9501616,0.9465522,0.94999474,0.9375278,0.9485102,0.9522598,0.94162667,0.96263534,0.9583496,0.95204836,0.9492842,0.94849443,0.9477127,0.94437575,0.9536873,0.9489046,0.94713616,0.95870996,0.94581026,0.9485551,0.94660246,0.95168227,0.94903153,0.95265436,0.9519544,0.9513788,0.95007455,0.9458285,0.9489478,0.9512095,0.9557443,0.9618274,0.9485729
BHLHE40,0.94898355,0.94828,0.94753855,0.94717544,0.9506066,0.9570135,0.94960904,0.9535514,0.99999356,0.95488477,0.9424238,0.9508364,0.94912404,0.9530323,0.95753515,0.9460508,0.9505234,0.95287406,0.94957393,0.9474255,0.94888735,0.9522969,0.9490652,0.95217717,0.94417393,0.9440157,0.9508294,0.94180906,0.94667614,0.95027065,0.95112044,0.95696396,0.954584,0.95566905,0.9440621,0.9556596,0.9591182,0.9412487,0.9548502,0.9544192,0.94671077,0.95205176,0.9471695,0.9491765,0.94912493,0.9520352,0.9491863,0.96211696,0.9545171,0.9432782,0.9539732,0.9647762,0.95583403,0.9554632,0.94994825,0.9427261,0.9470358,0.9534668,0.9478239,0.95087415,0.9553313,0.94533455,0.9539106,0.94939375,0.95204306,0.9461767,0.94519436,0.9441458,0.946702,0.9508876,0.945277,0.94246167,0.9438527,0.9469847,0.96022636,0.95179605,0.94274354,0.9497786,0.9461814,0.9431768,0.9528776,0.9517756,0.94822854,0.94990146,0.9615225,0.9489722,0.9450837,0.9471964,0.94979966,0.9485797,0.95492864,0.95354766,0.9462541,0.94923747,0.94549614,0.95167077,0.9477017,0.9526125,0.95217866,0.95236206
BTLA,0.94947475,0.95370007,0.9519046,0.95376664,0.9500804,0.9500524,0.95021313,0.96442384,0.95488477,0.99998605,0.9481166,0.9494411,0.94801116,0.9508148,0.9479725,0.951827,0.949754,0.94952214,0.9492591,0.9423743,0.9522219,0.955305,0.9506748,0.9424139,0.94909066,0.9493378,0.94953096,0.94862825,0.9534422,0.9495071,0.9493495,0.9546217,0.9604339,0.9640836,0.9473653,0.9578821,0.9552502,0.9445479,0.9530241,0.94758505,0.94394004,0.949395,0.9488494,0.9500068,0.95129585,0.957138,0.94950396,0.9571362,0.96235514,0.9481455,0.94932145,0.9506789,0.9538569,0.95556164,0.9475745,0.94931585,0.95156014,0.94922346,0.94460493,0.9582193,0.9567964,0.94804865,0.9461832,0.9501085,0.9540575,0.9475769,0.9495044,0.9505797,0.9486884,0.94998616,0.9380707,0.947886,0.95337474,0.94386744,0.9623829,0.95529747,0.95158046,0.94982344,0.94892055,0.9470399,0.94703984,0.953384,0.950717,0.94650364,0.9587,0.94710004,0.94781363,0.94868284,0.95298135,0.9481621,0.9519697,0.9534519,0.94862914,0.9503842,0.9486142,0.95045507,0.94983196,0.9538344,0.95812446,0.94922805
