layer,correlation,p_value
0,0.42586481116882546,2.6056923455235454e-217
1,0.427879004530559,1.427458899482987e-219
2,0.44340884275258874,1.561829186995182e-237
3,0.44356910780726516,1.0077385802899969e-237
4,0.4427864337887839,8.544009972501824e-237
5,0.4418586707961363,1.0688325147475454e-235
6,0.44137757590320775,3.9495509649315356e-235
7,0.43839001014887663,1.2620669186485761e-231
8,0.4371134883130718,3.870770660676554e-230
9,0.43251428491679667,7.792183438739794e-225
10,0.4271759687066913,8.823091041797108e-219
11,0.43019137887234343,3.462442386788186e-222
12,0.42858684794448276,2.270888841772654e-220
13,0.42716748017507467,9.019045737621159e-219
14,0.4263526026006615,7.407750830197772e-218
15,0.41745704908441195,4.903893989970674e-208
16,0.40077855237501875,2.0919261709163213e-190
17,0.3966102290316729,3.72626296058352e-186
18,0.4021116398311327,8.874951897283288e-192
19,0.40464262539225476,2.114481886268439e-194
20,0.41472080060161626,4.489710719388078e-205
21,0.42539862394173866,8.652176176540879e-217
22,0.43394269837440036,1.791350734796808e-226
23,0.43682464815167243,8.381344796499433e-230
