layer,correlation,p_value
0,0.5648378081129128,0.0
1,0.5605317773821551,0.0
2,0.5953716872912875,0.0
3,0.6149952464857739,0.0
4,0.6289862927722198,0.0
5,0.6419864786290786,0.0
6,0.651657254212054,0.0
7,0.6650651777476825,0.0
8,0.6663579614828867,0.0
9,0.6674247833434743,0.0
10,0.6734239235907075,0.0
11,0.6642384243328785,0.0
12,0.6654410907428551,0.0
13,0.6571443567909505,0.0
14,0.6498884764467738,0.0
15,0.6363421002794154,0.0
16,0.6218573535885884,0.0
17,0.6162802617328492,0.0
18,0.6154850367638283,0.0
19,0.6228188427548547,0.0
20,0.6338957743318162,0.0
21,0.6409540094323679,0.0
22,0.6497823041710409,0.0
23,0.6537134772756813,0.0
