Layer,Pseudotime_Corr,Neighborhood_Overlap,Global_Geom_Corr
X_layer_0,0.04843979907091759,0.07225637934498694,0.0719448904315223
X_layer_1,0.09775675740934717,0.07986872948898266,0.09169217027788742
X_layer_2,0.127371337218087,0.08596075279619585,0.10586526639969218
X_layer_3,0.20929063718019303,0.09310561918156854,0.07269537905355986
X_layer_4,0.26749921748524685,0.10407340432656889,0.08753897880176102
X_layer_5,0.2316480960941062,0.11573906637197778,0.15261319624717873
X_layer_6,0.12187963189721436,0.11489250552541694,0.17091015021650785
X_layer_7,0.5510891096656672,0.12433728484361398,0.21139008260467668
X_layer_8,0.5444682171499178,0.1246828745562923,0.17687193290312223
X_layer_9,0.5695711768353449,0.12338758288125379,0.18055872578668244
X_layer_10,0.5943619422020745,0.12135690844551605,0.17282440033341936
X_layer_11,0.5234774298365471,0.11777375929274664,0.17123302794964992
