,Layer,Pseudotime_Corr,Neighborhood_Overlap,Global_Geom_Corr,layer_idx
0,X_layer_0,0.085534154604523,0.045490590047552,0.1472261632650465,0
1,X_layer_1,0.2026344728949398,0.0533346728283437,0.1762586291505753,1
2,X_layer_2,0.3222192677292174,0.0601138570758824,0.1983577628541135,2
3,X_layer_3,0.282548070821001,0.0660813073471301,0.2804586110878064,3
4,X_layer_4,0.2904372415456346,0.0710655682807581,0.3134346306709973,4
5,X_layer_5,0.2903854716864129,0.0734016475788627,0.33398732312754,5
6,X_layer_6,0.28942348284128,0.0787810595405532,0.3716583096041719,6
7,X_layer_7,0.3285170917840239,0.0856379344986939,0.3700205600683443,7
8,X_layer_8,0.1960543433408391,0.0838684615899805,0.3332166831606533,8
9,X_layer_9,0.1922421412143828,0.0833581139910253,0.3060451116978044,9
10,X_layer_10,0.3701338644108958,0.0923930078360458,0.3372979156763924,10
11,X_layer_11,0.3803853777635705,0.0873765990221686,0.3350654519787013,11
12,X_layer_12,0.5802987029939664,0.0878923046011653,0.3367000815564073,12
13,X_layer_13,0.6502333348850449,0.0898426093362802,0.3751966176498742,13
14,X_layer_14,0.6992757542171402,0.0943044672158596,0.4458809093286387,14
15,X_layer_15,0.762563045709329,0.1020025450405197,0.4080611698780337,15
16,X_layer_16,0.6966231405667205,0.1061630165427634,0.4086287062429553,16
17,X_layer_17,0.6612998829532487,0.1053459245864309,0.4116889230374374,17
18,X_layer_18,0.6095448195910118,0.1095130935637264,0.4206588865804513,18
19,X_layer_19,0.5521224074220671,0.1108485700890764,0.3940564986422599,19
20,X_layer_20,0.4717408529891642,0.1162547719509745,0.4023806094968815,20
21,X_layer_21,0.5751764059412917,0.124583751925524,0.4134671720625332,21
22,X_layer_22,0.6240398023041046,0.1294313843680932,0.4294948684004105,22
23,X_layer_23,0.5842969860448836,0.1306114794722389,0.4361292635085719,23
