Layer,Pseudotime_Corr,Neighborhood_Overlap,Global_Geom_Corr
X_layer_0,0.27067677869002743,0.054905054740778364,0.28941072248421235
X_layer_1,0.28702268123457186,0.059958354498326615,0.2689810808748876
X_layer_10,0.4807046313035759,0.10643487846790668,0.48221987661610116
X_layer_11,0.46763760831753953,0.10643271693667794,0.48858280112720187
X_layer_12,0.4843742949300118,0.1061106487835983,0.4970842517146704
X_layer_13,0.5107798797326107,0.10760390660744072,0.5038671457394284
X_layer_14,0.5282832376060198,0.10443978514379587,0.4924335477987995
X_layer_15,0.5762686179933227,0.10249440703794573,0.46707824361606803
X_layer_16,0.6146343833118733,0.09985697868369954,0.42307951070902733
X_layer_17,0.6532924698160582,0.09706788288823802,0.34223618152294294
X_layer_18,0.6641886361349587,0.09637655315025165,0.38321826262511116
X_layer_19,0.6716879238913359,0.09602890687763212,0.36584888320897874
X_layer_2,0.25630931784442024,0.06660866557869594,0.28318368448331144
X_layer_20,0.6413768907782211,0.09547231258623609,0.34139125362519723
X_layer_21,0.6114691910938993,0.09597558910732364,0.37508293473634324
X_layer_22,0.572222800541512,0.09838677719296349,0.3984032419486231
X_layer_23,0.5413275595847522,0.09744687136367401,0.31444015198861824
X_layer_3,0.22440920770106748,0.070569311300125,0.291093682808596
X_layer_4,0.24658760713573014,0.07508511029213095,0.2957835514347253
X_layer_5,0.2992445661896267,0.07978211765214478,0.2982199955789008
X_layer_6,0.32132992578577446,0.08429971792017465,0.3285121870996775
X_layer_7,0.33745618457534804,0.09177465316430158,0.35659528653171946
X_layer_8,0.34595818159677433,0.09705527395607048,0.41752548473949347
X_layer_9,0.39343926438363713,0.09915880409682219,0.46182121510185314
