Layer,R2,MAE,Spearman,MacroF1,BalancedAcc,Acc_pm1,Pseudotime_Spearman,Pseudotime_Kendall,Smoothness
X_layer_0,0.7945681560037813,0.6863787457692684,0.9011259578234387,0.9091313585479365,0.9073414414832394,0.9715326337177257,-0.11331352476993473,-0.10821979225896973,0.8005677622027444
X_layer_1,0.8011341191192944,0.6747355834748778,0.9040356066399334,0.9159880186292181,0.9150736963725808,0.9740292022869,-0.10255526145171243,-0.09671783228467626,0.729170224186814
X_layer_10,0.8891758970917721,0.505616891634971,0.9375542666895081,0.9667601283495608,0.9664056937218958,0.9924454483556151,0.3362462740739866,0.2302647277352878,0.3269236727297617
X_layer_11,0.892359479372403,0.49667937895218583,0.9386807599998597,0.9668985130122536,0.9668142619909931,0.9922076799204557,0.3583022815821218,0.24625649697773586,0.3170346673583567
X_layer_12,0.8950975908857687,0.48996081856193874,0.9402204954915507,0.966487961025417,0.9657861218199049,0.9923265641380354,0.33883639391983084,0.23451735248596065,0.31603676044109646
X_layer_13,0.897942517190654,0.4802853789975725,0.9413371615611952,0.9683593491578283,0.9676715936388517,0.9926183708539129,0.3740639618443148,0.26270863313128107,0.303365143867916
X_layer_14,0.8975141981135044,0.47832269244549774,0.9404170546428575,0.967460482349934,0.9669304806023364,0.992477871324046,0.3808613555090179,0.27069531497770527,0.31211934534424185
X_layer_15,0.8959209447979273,0.48154378581245727,0.9393368539034875,0.9676092920492074,0.9665359916306979,0.9924670636679024,0.3832508201523779,0.27522928232674626,0.32600141940550686
X_layer_16,0.8950990901160467,0.4817529496508913,0.9385471685488709,0.9638894921722617,0.9627418134049796,0.9917645660185676,0.3614080382458283,0.25927797502895816,0.35811745040186466
X_layer_17,0.8943458286226679,0.48199245774520605,0.9379924546093624,0.9624454232206511,0.9613024345777651,0.9913971057096848,0.4211971906046587,0.3130770572583981,0.377274381171622
X_layer_18,0.8944675800631487,0.4804618052314261,0.9379858789715464,0.9620126356752232,0.961150326603652,0.9912566061798178,0.43657219906307737,0.32891637057215667,0.39431012929559295
X_layer_19,0.8933598511831472,0.4821007716970996,0.9375009121273336,0.9621145914364623,0.9610698947874777,0.9910512607130891,0.4455668311525827,0.3380929696208451,0.4039375893883227
X_layer_2,0.8090137155778625,0.6629269204889079,0.9077681707224338,0.9216227045248603,0.9211393416621446,0.9767095010105159,-0.09765773804717393,-0.08697267772369491,0.6562567322691395
X_layer_20,0.8934792918137594,0.48045233912717744,0.9376766646850463,0.9622706116042077,0.96055505485549,0.9909756071200838,0.4195526936485119,0.31385634574533816,0.40493621681599246
X_layer_21,0.8940199701916286,0.47943058792299453,0.9379444618970608,0.9622888161243265,0.9612127241020615,0.9908459152463606,0.3975791039263971,0.29249504184291647,0.4039476765340568
X_layer_22,0.8945165672213332,0.4783227486907099,0.9383310596607934,0.9645757782105244,0.9642712734187613,0.9913971057096848,0.3910077665706142,0.286072497841621,0.3970430252791077
X_layer_23,0.8948892395253528,0.4775840360665041,0.9385211992045108,0.9649970085091962,0.9643195797447984,0.9916456818009878,0.4417866548872668,0.33113330718858974,0.39992146436535647
X_layer_3,0.8185949981397349,0.6461552841554854,0.9111708790781547,0.9284994791821234,0.928340275704293,0.9782549958390524,-0.08143888239104718,-0.0727275854912932,0.6188824163037097
X_layer_4,0.8304544996488548,0.6235276167890584,0.9162567980088697,0.9409904814932378,0.9409424614711758,0.9826537118895026,-0.05306180920231161,-0.048886756336428264,0.5535061837805902
X_layer_5,0.8367113174613641,0.612563208063297,0.9187423589103775,0.9443725189121598,0.9448763235504847,0.984393744528624,-0.015055563594256728,-0.01940590069657644,0.5266088096807778
X_layer_6,0.8461388909927828,0.5958054897864473,0.9220422762040381,0.9485446262962478,0.9480341784967926,0.9860689312308839,0.033344038658536905,0.015084794799547966,0.5020804738076453
X_layer_7,0.8600282882278552,0.5681432410635786,0.926588720571707,0.9558658368278514,0.9563486724831242,0.9889437677650847,0.10918424537111565,0.0701857622511119,0.44082411980647096
X_layer_8,0.8719772024265544,0.5440891902624311,0.9310471863451817,0.9600355425302614,0.9604881789360921,0.9899813027548715,0.16502253007667234,0.11043490938617767,0.39952518364009065
X_layer_9,0.8838134185971009,0.5180162502391352,0.9358980342766186,0.9647534736141185,0.9643217913316027,0.9916672971132751,0.2619471912529598,0.17160969304977006,0.3342231636891574
